Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;60;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  4.708800388527E+01
1;0.010022;60;  9.533100758055E+01;  1.875039239197E-37;  2.931276572813E+01;  9.973584732159E+01;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  9.533100758055E+01;  1.875039239197E-37; -1.777523815714E+01;  9.697401764321E+01
2;0.020021;60;  9.926326961577E+01;  6.530447582098E-36;  4.629375472208E+01;  1.095276605296E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  9.926326961577E+01;  6.530447582098E-36; -7.942491631843E-01;  9.926644713369E+01
3;0.030008;60;  8.085169139879E+01;  1.235067338750E-35;  2.882819207353E+01;  8.583740828027E+01;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  8.085169139879E+01;  1.235067338750E-35; -1.825981181174E+01;  8.288797698971E+01
4;0.040035;60;  1.402010378823E+02; -2.760574315283E-35;  4.533004581228E+01;  1.473470192322E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.402010378823E+02; -2.760574315283E-35; -1.757958072990E+00;  1.402120588247E+02
5;0.050043;60;  1.057582234965E+02;  7.309366248821E-35;  5.256483260043E+01;  1.181010730834E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.057582234965E+02;  7.309366248821E-35;  5.476828715158E+00;  1.058999409344E+02
6;0.060015;60;  1.193942910312E+02;  1.117829213856E-34;  5.724200254741E+01;  1.324071130510E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.193942910312E+02;  1.117829213856E-34;  1.015399866214E+01;  1.198252912355E+02
7;0.070039;60;  1.494488768518E+02;  2.218741937729E-34;  5.785867825983E+01;  1.602578966611E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.494488768518E+02;  2.218741937729E-34;  1.077067437456E+01;  1.498364916125E+02
8;0.080014;60;  9.766510860058E+01; -9.679883461266E-34;  4.655270085860E+01;  1.081925477803E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  9.766510860058E+01; -9.679883461266E-34; -5.353030266658E-01;  9.766657558906E+01
9;0.090007;60;  1.317706302877E+02; -1.312044393007E-33;  6.615783973124E+01;  1.474461215642E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.317706302877E+02; -1.312044393007E-33;  1.906983584597E+01;  1.331433725185E+02
10;0.100018;60;  1.388724761043E+02; -1.791640040689E-33;  1.014894772640E+02;  1.720048796246E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.388724761043E+02; -1.791640040689E-33;  5.440147337871E+01;  1.491478626234E+02
11;0.110033;60;  1.095625752081E+02; -8.907255997654E-34;  6.173702508713E+01;  1.257593660641E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.095625752081E+02; -8.907255997654E-34;  1.464902120186E+01;  1.105375579087E+02
12;0.120004;60;  1.010092173221E+02; -8.140313527597E-34;  9.849210981268E+01;  1.410799690933E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.010092173221E+02; -8.140313527597E-34;  5.140410592741E+01;  1.133368611274E+02
13;0.130035;60;  1.388485559667E+02; -4.508599105607E-34;  7.362383978402E+01;  1.571603998423E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.388485559667E+02; -4.508599105607E-34;  2.653583589875E+01;  1.413614943359E+02
14;0.140001;60;  1.169433194140E+02; -1.858964397294E-33;  5.210734590973E+01;  1.280270106397E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.169433194140E+02; -1.858964397294E-33;  5.019342024465E+00;  1.170509878213E+02
15;0.150039;60;  1.162001497644E+02; -1.617998125841E-33;  8.725298647960E+01;  1.453119350050E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.162001497644E+02; -1.617998125841E-33;  4.016498259433E+01;  1.229459256425E+02
16;0.160021;60;  1.398784434598E+02;  7.291372916921E-34;  1.501889312355E+02;  2.052381397558E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.398784434598E+02;  7.291372916921E-34;  1.031009273502E+02;  1.737693303354E+02
17;0.170014;60;  2.065116922709E+02;  4.640685700746E-33;  7.126061574907E+01;  2.184608761346E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  2.065116922709E+02;  4.640685700746E-33;  2.417261186380E+01;  2.079216059213E+02
18;0.180016;60;  2.641900900392E+02;  5.410334216430E-33;  7.982088815303E+01;  2.759851044177E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  2.641900900392E+02;  5.410334216430E-33;  3.273288426776E+01;  2.662101526753E+02
19;0.190028;60;  1.342122625621E+02;  3.112933086192E-33;  2.152047275186E+02;  2.536257206365E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.342122625621E+02;  3.112933086192E-33;  1.681167236334E+02;  2.151189535751E+02
20;0.200024;60;  2.369198083895E+02; -4.956021170369E-33;  1.001148913520E+02;  2.572041739120E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  2.369198083895E+02; -4.956021170369E-33;  5.302688746671E+01;  2.427814787041E+02
21;0.210031;60;  1.673486217163E+02; -1.599117943994E-34;  6.389671288873E+01;  1.791322168353E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.673486217163E+02; -1.599117943994E-34;  1.680870900346E+01;  1.681906474472E+02
22;0.220023;60;  2.037208368021E+02; -5.749528138237E-33;  6.274318227087E+01;  2.131639891465E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  2.037208368021E+02; -5.749528138237E-33;  1.565517838560E+01;  2.043214720915E+02
23;0.230022;60;  1.536795219314E+02; -1.030251026637E-33;  4.153281257797E+01;  1.591928703859E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.536795219314E+02; -1.030251026637E-33; -5.555191307294E+00;  1.537798933916E+02
24;0.240015;60;  1.459512560748E+02; -4.789658724708E-34;  9.174743022542E+01;  1.723930396007E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.459512560748E+02; -4.789658724708E-34;  4.465942634015E+01;  1.526310371806E+02
25;0.250032;60;  2.853472929408E+02;  1.123204655214E-32;  1.435699620242E+02;  3.194298226282E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  2.853472929408E+02;  1.123204655214E-32;  9.648195813897E+01;  3.012172734672E+02
26;0.260035;60;  1.616552009717E+02;  2.517721918590E-33;  6.131001007870E+01;  1.728910678348E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.616552009717E+02;  2.517721918590E-33;  1.422200619343E+01;  1.622796027274E+02
27;0.270035;60;  1.735528634273E+02; -7.833636823701E-33;  4.543457792155E+01;  1.794014974149E+02;  0.000000000000E+00;  0.000000000000E+00; -4.708800388527E+01;  1.735528634273E+02; -7.833636823701E-33; -1.653425963721E+00;  1.735607392852E+02
