Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
1;0.010022;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
2;0.020021;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
3;0.030008;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
4;0.040035;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
5;0.050043;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
6;0.060015;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
7;0.070039;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
8;0.080014;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
9;0.090007;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
10;0.100018;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
11;0.110033;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
12;0.120004;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
13;0.130035;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
14;0.140001;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
15;0.150039;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
16;0.160021;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
17;0.170014;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
18;0.180016;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
19;0.190028;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
20;0.200024;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
21;0.210031;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
22;0.220023;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
23;0.230022;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
24;0.240015;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
25;0.250032;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
26;0.260035;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
27;0.270035;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
28;0.280013;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
29;0.290014;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
30;0.300015;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
31;0.310022;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
32;0.320015;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
33;0.330012;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
34;0.340002;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
35;0.350033;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
36;0.360039;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
37;0.370006;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
38;0.380038;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
39;0.390017;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
40;0.400025;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
41;0.410013;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
42;0.420014;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
43;0.430033;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
44;0.440032;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
45;0.450023;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
46;0.460013;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
47;0.470017;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
48;0.480026;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
49;0.490039;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
50;0.500005;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
51;0.510023;84;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320076160E+01;  6.592320076160E+01
