Time [s],Fx_net [N/m],Fy_net [N/m],Fz_net [N/m],Fmag_net [N/m]
0.0,0.0,0.0,0.0,0.0
0.010022,138.5101512507812,2.23963989149691e-37,32.843436089807994,142.35081065346833
0.020021,100.092599640425,5.769059564904818e-36,49.313875244759295,111.58130127594896
0.030008,29.120846003511478,8.069006524143452e-36,30.206421759823183,41.95773572885636
0.040035,156.1196704823636,-3.4030749329620064e-35,53.671325800885555,165.08774250302957
0.050043,50.82194469694601,9.22466247573644e-35,54.303959213259716,74.37600452440836
0.060015,88.91154962080033,1.2476540800583083e-34,61.08616980144288,107.8739254731316
0.070039,151.72928244247004,3.49653323014154e-34,67.45632035369,166.04857815159542
0.080014,68.565159379688,-8.29135006054885e-34,52.037672304175004,86.07613153249116
0.090007,144.35123924242998,-1.188613539656921e-33,75.703721371348,162.99795612306292
0.100018,187.76966179497,-1.9415927683648748e-33,110.803909593154,218.0251184421769
0.110033,121.087196173035,-1.058026755052701e-33,69.88664173910671,139.80791025767215
0.120004,145.79851004147002,-7.5467790378810016e-34,109.569336625481,182.3804952807745
0.130035,181.3997223191941,-3.0972878495511e-34,87.84271033469301,201.5495001641669
0.140001,172.300498233585,-2.9290697967378307e-33,73.825280639158,187.45035010101222
0.150039,172.483922920792,-2.2380688873444e-33,104.1188427019,201.4731671258699
0.160021,216.3231979112366,-1.2762605670423261e-33,174.00865873408776,277.6233766615849
0.170014,255.51602612234592,1.581063808589162e-33,92.88307216216474,271.87442818263963
0.180016,336.72041383234,1.923610377858e-33,108.82825864596,353.8703533376797
0.190028,147.36736702125,-7.646888988870002e-34,252.70893073539003,292.53879150669906
0.200024,260.90919720875,-9.951906283678001e-33,162.1226625759,307.1764426332422
0.210031,232.45378517266,-5.046254261213401e-33,110.94988149926,257.5745298856178
0.220023,247.60246623217,1.6567900718559998e-33,131.17591500246,280.20367942085534
0.230022,143.773203353129,-1.4549545343989001e-33,38.808670722072,148.91892735859466
0.240015,188.15323307047998,7.939664426962201e-33,164.7448688618,250.08500740981265
0.250032,297.1313635956,1.118810238681795e-32,148.92872418949,332.3654797371259
0.260035,163.455517229832,2.5925146126343503e-33,62.1875311417524,174.88566305554704
0.270035,150.33225923532,-1.0686729661196e-32,77.75222164023,169.24891768276365
0.280013,137.606331206948,-1.4114597887577998e-32,111.61415367445,177.1813243225708
0.290014,205.652715497908,-1.6935484323771e-32,78.84029249609,220.24720455100564
0.300015,172.850661481029,-2.0105488252613798e-32,117.81656930773,209.18435691483344
0.310022,112.83790187358649,-1.359140693943935e-32,67.24631053129256,131.35622702903797
0.320015,108.42168281432042,-2.983571911904536e-33,63.47695984061193,125.63672128361105
0.330012,88.73440423631165,-8.318682352667895e-33,52.39493177525671,103.04864565294862
0.340002,155.154996093852,-1.2750444963263097e-32,116.96638452060195,194.30442074411107
0.350033,70.17385463289288,-5.039376948560622e-33,39.66623237828148,80.60880761508761
0.360039,227.41164517158327,-1.6360219541732123e-32,159.6176885905659,277.8378355635549
0.370006,173.15295366525953,-1.3071697127402356e-32,126.28771322800615,214.3140963057788
0.380038,75.26475324930006,-1.2204791546147626e-32,58.677171079475336,95.43476037360831
0.390017,250.69306757070942,-4.5341302291700775e-32,192.07198710550884,315.8142846019968
0.400025,297.47429552640415,4.3727664977814576e-32,228.56281074529733,375.14252618800907
0.410013,166.48162835190993,-2.4729934679473655e-32,133.1877666174023,213.20204913470013
0.420014,48.89594902025271,-1.0106369246749234e-32,38.44357039993663,62.199050922711315
0.430033,104.6417116443254,-1.2194587601540499e-32,83.281092990655,133.737161124245
0.440032,147.24610125427438,-1.61214569302264e-32,120.3888816414378,190.19699565834404
0.450023,381.6826977695374,-2.2463253018591122e-32,320.22877668482585,498.2250005707181
0.460013,133.1295433990133,-7.367459990941353e-33,107.84505464206606,171.3301816271143
0.470017,126.63197123391402,-1.4141556672753e-32,109.60581700814299,167.4786292653763
0.480026,446.1333449632,-4.586317109399988e-33,360.80337003474,573.7717606474539
0.490039,129.02358123369,-2.544773467043e-32,104.43713147099,165.99457504465457
0.500005,181.6630255871,-2.750457163040001e-32,153.17292990981,237.62028811238935
0.510023,170.638763225949,3.63618718031e-33,139.73604015911,220.55327799565774
0.520041,518.4775846703,5.957948863240001e-32,417.938843005,665.9518618473156
0.530014,149.34071173359,-4.308888604049999e-32,120.7818798957,192.07006714278654
0.540021,109.69987742472999,1.1991266344400023e-32,92.03173462497999,143.19184084675888
