time_s,xmin,xmax,xspan,ymin,ymax,yspan,zmin,zmax,zspan,n
0.0,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
0.200008,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
0.400121,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
0.600113,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
0.800059,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
1.00011,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
1.20005,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
1.40002,-1.5008,1.5008,3.0016,-0.0144,1.1504,1.1648,0.0,825351.0,825351.0,825352
