t_rel_s,t_actual_s,x_m,y_min_m,y_max_m
0.0,1.80013,-0.195,-0.124625455,0.12293754499999998
0.0,1.80013,-0.185,-0.124810038,0.12363839399999998
0.0,1.80013,-0.175,-0.123206838,0.12645424
0.0,1.80013,-0.16499999999999998,-0.12660057,0.124801632
0.0,1.80013,-0.15499999999999997,-0.125110518,0.12503436399999995
0.0,1.80013,-0.14499999999999996,-0.122898914,0.12405186449999997
0.0,1.80013,-0.13499999999999995,-0.125450381,0.12546823399999998
0.0,1.80013,-0.12499999999999994,-0.124509754,0.1232523065
0.0,1.80013,-0.11499999999999994,-0.124485135,0.12312021450000002
0.0,1.80013,-0.10499999999999993,-0.12234075750000001,0.124331505
0.0,1.80013,-0.09499999999999992,-0.12303051749999999,0.124331845
0.0,1.80013,-0.08499999999999991,-0.124940208,0.12231483799999998
0.0,1.80013,-0.0749999999999999,-0.123169687,0.12367965
0.0,1.80013,-0.06499999999999989,-0.11701888499999999,0.11992691299999997
0.0,1.80013,-0.05499999999999988,-0.12367895799999999,0.124017948
0.0,1.80013,-0.04499999999999987,-0.118983689,0.117292471
0.0,1.80013,-0.034999999999999865,-0.116078804,0.11975999399999994
0.0,1.80013,-0.024999999999999856,-0.1079864475,0.10793375999999999
0.0,1.80013,-0.014999999999999847,-0.103224505,0.10345494250000001
0.0,1.80013,-0.004999999999999838,-0.08533186655,0.08789155115000001
0.0,1.80013,0.005000000000000171,-0.064115092,0.06335065059999997
0.0,1.80013,0.01500000000000018,-0.02926313715,0.008673578384999998
0.4,2.2001,-0.195,-0.124631442,0.126827977
0.4,2.2001,-0.185,-0.12415149049999999,0.12505186149999994
0.4,2.2001,-0.175,-0.126294762,0.1255295235
0.4,2.2001,-0.16499999999999998,-0.125104659,0.125796349
0.4,2.2001,-0.15499999999999997,-0.12614524500000002,0.12596557
0.4,2.2001,-0.14499999999999996,-0.1225525065,0.1256741675
0.4,2.2001,-0.13499999999999995,-0.126031584,0.12634119
0.4,2.2001,-0.12499999999999994,-0.127997892,0.12379849899999999
0.4,2.2001,-0.11499999999999994,-0.1253849615,0.1254468695
0.4,2.2001,-0.10499999999999993,-0.1261780805,0.1271141945
0.4,2.2001,-0.09499999999999992,-0.12575532350000002,0.12372355449999999
0.4,2.2001,-0.08499999999999991,-0.12448789199999999,0.125344412
0.4,2.2001,-0.0749999999999999,-0.12545314,0.12467957899999997
0.4,2.2001,-0.06499999999999989,-0.125062711,0.12567041199999995
0.4,2.2001,-0.05499999999999988,-0.1240455265,0.12598509399999996
0.4,2.2001,-0.04499999999999987,-0.125391724,0.12291727599999999
0.4,2.2001,-0.034999999999999865,-0.12546461750000001,0.12597367599999998
0.4,2.2001,-0.024999999999999856,-0.12566157,0.12483396499999999
0.4,2.2001,-0.014999999999999847,-0.12526701,0.12743825
0.4,2.2001,-0.004999999999999838,-0.126851166,0.12544650949999997
0.4,2.2001,0.005000000000000171,-0.125185145,0.1241598525
0.4,2.2001,0.01500000000000018,-0.12752918000000002,0.127548891
0.4,2.2001,0.02500000000000019,-0.128407884,0.127588906
0.4,2.2001,0.0350000000000002,-0.132375352,0.132505196
0.4,2.2001,0.045000000000000207,-0.1354797515,0.13794526699999998
0.4,2.2001,0.055000000000000215,-0.140606255,0.13948155499999998
0.4,2.2001,0.06500000000000022,-0.13529138799999998,0.13643540899999998
0.4,2.2001,0.07500000000000023,-0.13576309,0.12949444
0.4,2.2001,0.08500000000000024,-0.127499845,0.1310101375
0.4,2.2001,0.09500000000000025,-0.114289691,0.11129814299999997
0.4,2.2001,0.10500000000000026,-0.102514178,0.10124900840000002
0.4,2.2001,0.11500000000000027,-0.08159356699999999,0.0843748822
0.4,2.2001,0.12500000000000028,-0.0492442862,0.052272854699999996
0.8,2.60006,-0.195,-0.12588006000000002,0.12505501499999996
0.8,2.60006,-0.185,-0.126748298,0.12698253199999998
0.8,2.60006,-0.175,-0.12447784199999999,0.12701687599999997
0.8,2.60006,-0.16499999999999998,-0.127189894,0.12436720099999998
0.8,2.60006,-0.15499999999999997,-0.124600976,0.12735459
0.8,2.60006,-0.14499999999999996,-0.12784849950000002,0.124232535
0.8,2.60006,-0.13499999999999995,-0.12453225700000001,0.12476031750000001
0.8,2.60006,-0.12499999999999994,-0.1256160845,0.12609517
0.8,2.60006,-0.11499999999999994,-0.128789714,0.125581322
0.8,2.60006,-0.10499999999999993,-0.124880072,0.12611199799999998
0.8,2.60006,-0.09499999999999992,-0.12605708,0.125302598
0.8,2.60006,-0.08499999999999991,-0.1264141475,0.1270407295
0.8,2.60006,-0.0749999999999999,-0.126198333,0.1260493815
0.8,2.60006,-0.06499999999999989,-0.1261588495,0.1251482795
0.8,2.60006,-0.05499999999999988,-0.12567819449999998,0.12707658549999998
0.8,2.60006,-0.04499999999999987,-0.12570050500000002,0.12591407500000001
0.8,2.60006,-0.034999999999999865,-0.127074282,0.12614410599999998
0.8,2.60006,-0.024999999999999856,-0.12732148399999998,0.127260698
0.8,2.60006,-0.014999999999999847,-0.1265623695,0.12465506799999998
0.8,2.60006,-0.004999999999999838,-0.12364043949999999,0.128133857
0.8,2.60006,0.005000000000000171,-0.13092637199999999,0.12523570799999997
0.8,2.60006,0.01500000000000018,-0.1272943255,0.12791003499999998
0.8,2.60006,0.02500000000000019,-0.13257668849999998,0.13517533799999998
0.8,2.60006,0.0350000000000002,-0.139523896,0.139309664
0.8,2.60006,0.045000000000000207,-0.148176206,0.145787972
0.8,2.60006,0.055000000000000215,-0.15384442,0.1545542
0.8,2.60006,0.06500000000000022,-0.1625281975,0.162887446
0.8,2.60006,0.07500000000000023,-0.163300634,0.16765715599999995
0.8,2.60006,0.08500000000000024,-0.17076857,0.16612998499999998
0.8,2.60006,0.09500000000000025,-0.15903141999999998,0.16456167099999996
0.8,2.60006,0.10500000000000026,-0.165797714,0.163389362
0.8,2.60006,0.11500000000000027,-0.156529972,0.15610593999999997
0.8,2.60006,0.12500000000000028,-0.149547575,0.15224108
0.8,2.60006,0.1350000000000003,-0.144991991,0.143464039
0.8,2.60006,0.1450000000000003,-0.138026074,0.142609362
0.8,2.60006,0.1550000000000003,-0.1305731675,0.1300997525
0.8,2.60006,0.1650000000000003,-0.11953298899999999,0.11573749049999997
0.8,2.60006,0.17500000000000032,-0.09710434600000001,0.0974929
0.8,2.60006,0.18500000000000033,-0.077209854,0.07240771939999999
0.8,2.60006,0.19500000000000034,-0.036646244,0.04542736879999997
1.2,3.00003,-0.195,-0.126197752,0.126952383
1.2,3.00003,-0.185,-0.12470581,0.12720321
1.2,3.00003,-0.175,-0.12599181,0.12560585
1.2,3.00003,-0.16499999999999998,-0.1275128955,0.12603010649999993
1.2,3.00003,-0.15499999999999997,-0.1257002045,0.12613249149999997
1.2,3.00003,-0.14499999999999996,-0.124557432,0.12592535999999996
1.2,3.00003,-0.13499999999999995,-0.12788301600000002,0.12585077299999997
1.2,3.00003,-0.12499999999999994,-0.12678262399999998,0.12645626599999998
1.2,3.00003,-0.11499999999999994,-0.1256220025,0.1264560375
1.2,3.00003,-0.10499999999999993,-0.12698777,0.12664404750000002
1.2,3.00003,-0.09499999999999992,-0.126510565,0.125239965
1.2,3.00003,-0.08499999999999991,-0.126742798,0.12823661599999997
1.2,3.00003,-0.0749999999999999,-0.124789481,0.1260543775
1.2,3.00003,-0.06499999999999989,-0.12630003299999998,0.12665081299999997
1.2,3.00003,-0.05499999999999988,-0.12767094999999998,0.125391974
1.2,3.00003,-0.04499999999999987,-0.124109576,0.12639752599999998
1.2,3.00003,-0.034999999999999865,-0.12816494,0.126499565
1.2,3.00003,-0.024999999999999856,-0.12757885800000002,0.126356064
1.2,3.00003,-0.014999999999999847,-0.126301366,0.12599439599999998
1.2,3.00003,-0.004999999999999838,-0.127661489,0.12649859800000002
1.2,3.00003,0.005000000000000171,-0.1259097025,0.12586393599999998
1.2,3.00003,0.01500000000000018,-0.1267772,0.12638977
1.2,3.00003,0.02500000000000019,-0.13756916,0.13782099
