y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.1291879,0.03398759748140911,0.025593554858402097,0.04159807401427835,-0.0260514,0.025864616,0.036223419,-0.0049823327,-0.019835323
-0.13715822,0.03750732550121881,0.020574606506623162,0.031807701191459675,-0.030792864,0.027675677,0.028417092,-2.6922915e-05,-0.014289787
-0.12808754,0.03777172243507287,0.02645246305629561,0.043263771197668194,-0.030709364,0.027998351,0.037565399,-0.0052926382,-0.020798622
-0.13702632,0.03332042475422923,0.018527292874070716,0.028122828271757865,-0.025710216,0.02528465,0.025314931,-0.00082988769,-0.012221253
-0.12953688,0.029345253185035645,0.02395109501888775,0.03882687037876311,-0.021226902,0.022869235,0.033724416,-0.0063803755,-0.018151596
-0.13697731,0.029003523791063027,0.020400805117862936,0.03077369659180898,-0.020041076,0.023001347,0.027759528,-0.0016038337,-0.013185474
-0.13653937,0.02975564381869896,0.026584052248582374,0.03625794990633318,-0.017488975,0.024901723,0.034085624,-0.0015502423,-0.012264009
-0.12936774,0.021168650636022572,0.01903939467161582,0.03152000017060242,-0.013211053,0.017389024,0.026974306,-0.0068021063,-0.014819871
-0.12842616,0.022515046130906425,0.029797014371398884,0.043916089201638475,-0.010913823,0.019826811,0.039946664,-0.0037824709,-0.017848805
-0.13703911,0.024687308335298565,0.0216875398799862,0.03339340914686046,-0.015649997,0.020176284,0.029882589,-0.00056658773,-0.014893946
-0.13685389,0.02415753920565939,0.022434816883633975,0.03291577133492437,-0.010252204,0.021891991,0.030062238,-0.00015766693,-0.013404663
-0.13656272,0.020747286808479787,0.021641324048064042,0.02702854367190824,-0.0091433041,0.018657928,0.026239166,-0.00084740994,-0.0064288597
-0.13710169,0.018915162071256385,0.02983302805097522,0.036168988227346516,-0.0038365447,0.018920166,0.035425745,0.0016482775,-0.0071060173
-0.13604699,0.026930823229706836,0.03665646238244692,0.04833486892384202,-0.0048767258,0.027186532,0.046048153,0.00082994945,-0.014667595
-0.1369527,0.03554702838549699,0.029447431500261276,0.037175922127471075,-0.021829458,0.029350828,0.035966996,-0.00081563735,-0.0093679838
-0.13580692,0.01678195563545867,0.03410610644815511,0.03943644839231136,-0.0034310508,0.016774857,0.038862992,-0.0051661683,-0.0042675543
-0.12822184,0.016679821714803082,0.04130961585189698,0.05223802585347561,-0.0024467327,0.017081721,0.050179727,-0.007399519,-0.012492136
-0.13666469,0.016931594699083296,0.03442169524059905,0.04178019268372722,-0.0010577014,0.017944846,0.040914815,0.0016666262,-0.0082936585
