t_rel_s,t_actual_s,x_m,z_top_m
0.0,1.80013,-0.195,0.150413615
0.0,1.80013,-0.185,0.1455610635
0.0,1.80013,-0.175,0.139740233
0.0,1.80013,-0.16499999999999998,0.1353412505
0.0,1.80013,-0.15499999999999997,0.1308026585
0.0,1.80013,-0.14499999999999996,0.12637874
0.0,1.80013,-0.13499999999999995,0.12025746
0.0,1.80013,-0.12499999999999994,0.115673078
0.0,1.80013,-0.11499999999999994,0.11079602
0.0,1.80013,-0.10499999999999993,0.10589735
0.0,1.80013,-0.09499999999999992,0.100519576
0.0,1.80013,-0.08499999999999991,0.0953553128
0.0,1.80013,-0.0749999999999999,0.08917192959999999
0.0,1.80013,-0.06499999999999989,0.08290393609999999
0.0,1.80013,-0.05499999999999988,0.077301072
0.0,1.80013,-0.04499999999999987,0.07179111695
0.0,1.80013,-0.034999999999999865,0.0655266864
0.0,1.80013,-0.024999999999999856,0.057714791
0.0,1.80013,-0.014999999999999847,0.0508574854
0.0,1.80013,-0.004999999999999838,0.04331169495
0.0,1.80013,0.005000000000000171,0.0337475056
0.0,1.80013,0.01500000000000018,0.0255704914
0.4,2.2001,-0.195,0.14993316
0.4,2.2001,-0.185,0.1461325925
0.4,2.2001,-0.175,0.14107730999999998
0.4,2.2001,-0.16499999999999998,0.13657041
0.4,2.2001,-0.15499999999999997,0.132650524
0.4,2.2001,-0.14499999999999996,0.12894258749999998
0.4,2.2001,-0.13499999999999995,0.12380996
0.4,2.2001,-0.12499999999999994,0.12009994199999999
0.4,2.2001,-0.11499999999999994,0.115724264
0.4,2.2001,-0.10499999999999993,0.11131156
0.4,2.2001,-0.09499999999999992,0.107476112
0.4,2.2001,-0.08499999999999991,0.103124238
0.4,2.2001,-0.0749999999999999,0.099324659
0.4,2.2001,-0.06499999999999989,0.0947141709
0.4,2.2001,-0.05499999999999988,0.09003450895000001
0.4,2.2001,-0.04499999999999987,0.08590552559999999
0.4,2.2001,-0.034999999999999865,0.08153810909999999
0.4,2.2001,-0.024999999999999856,0.0777276428
0.4,2.2001,-0.014999999999999847,0.0728195128
0.4,2.2001,-0.004999999999999838,0.06874397
0.4,2.2001,0.005000000000000171,0.06418217585000001
0.4,2.2001,0.01500000000000018,0.0608006724
0.4,2.2001,0.02500000000000019,0.05744847055
0.4,2.2001,0.0350000000000002,0.054093590000000004
0.4,2.2001,0.045000000000000207,0.05111242125
0.4,2.2001,0.055000000000000215,0.048427145649999996
0.4,2.2001,0.06500000000000022,0.045809403699999994
0.4,2.2001,0.07500000000000023,0.0432083406
0.4,2.2001,0.08500000000000024,0.0406815626
0.4,2.2001,0.09500000000000025,0.03706076
0.4,2.2001,0.10500000000000026,0.0327005266
0.4,2.2001,0.11500000000000027,0.030171363
0.4,2.2001,0.12500000000000028,0.025718801950000002
0.8,2.60006,-0.195,0.149244343
0.8,2.60006,-0.185,0.14565749
0.8,2.60006,-0.175,0.14128037
0.8,2.60006,-0.16499999999999998,0.1376521275
0.8,2.60006,-0.15499999999999997,0.13348361
0.8,2.60006,-0.14499999999999996,0.12934548599999998
0.8,2.60006,-0.13499999999999995,0.12536161199999998
0.8,2.60006,-0.12499999999999994,0.1210557775
0.8,2.60006,-0.11499999999999994,0.116971579
0.8,2.60006,-0.10499999999999993,0.11295965699999999
0.8,2.60006,-0.09499999999999992,0.10826504149999999
0.8,2.60006,-0.08499999999999991,0.104882694
0.8,2.60006,-0.0749999999999999,0.101282024
0.8,2.60006,-0.06499999999999989,0.0974202968
0.8,2.60006,-0.05499999999999988,0.09381348375
0.8,2.60006,-0.04499999999999987,0.0891730265
0.8,2.60006,-0.034999999999999865,0.08627664774999999
0.8,2.60006,-0.024999999999999856,0.0824327805
0.8,2.60006,-0.014999999999999847,0.0786307068
0.8,2.60006,-0.004999999999999838,0.0755482615
0.8,2.60006,0.005000000000000171,0.07260711319999999
0.8,2.60006,0.01500000000000018,0.0694376805
0.8,2.60006,0.02500000000000019,0.06650694815
0.8,2.60006,0.0350000000000002,0.0644260724
0.8,2.60006,0.045000000000000207,0.062452366849999996
0.8,2.60006,0.055000000000000215,0.060836909849999996
0.8,2.60006,0.06500000000000022,0.0589722205
0.8,2.60006,0.07500000000000023,0.057202609
0.8,2.60006,0.08500000000000024,0.055539536599999995
0.8,2.60006,0.09500000000000025,0.05412420375
0.8,2.60006,0.10500000000000026,0.0518736059
0.8,2.60006,0.11500000000000027,0.049652341
0.8,2.60006,0.12500000000000028,0.047045161
0.8,2.60006,0.1350000000000003,0.04427407575
0.8,2.60006,0.1450000000000003,0.0411609065
0.8,2.60006,0.1550000000000003,0.0387284286
0.8,2.60006,0.1650000000000003,0.0352951735
0.8,2.60006,0.17500000000000032,0.0313564624
0.8,2.60006,0.18500000000000033,0.02758455305
0.8,2.60006,0.19500000000000034,0.0234143552
1.2,3.00003,-0.195,0.149773555
1.2,3.00003,-0.185,0.145740694
1.2,3.00003,-0.175,0.14170197399999998
1.2,3.00003,-0.16499999999999998,0.1374649935
1.2,3.00003,-0.15499999999999997,0.133655241
1.2,3.00003,-0.14499999999999996,0.1290018905
1.2,3.00003,-0.13499999999999995,0.12540663900000001
1.2,3.00003,-0.12499999999999994,0.121481434
1.2,3.00003,-0.11499999999999994,0.1183861
1.2,3.00003,-0.10499999999999993,0.11441902749999999
1.2,3.00003,-0.09499999999999992,0.109903799
1.2,3.00003,-0.08499999999999991,0.106790341
1.2,3.00003,-0.0749999999999999,0.10331529049999999
1.2,3.00003,-0.06499999999999989,0.0996208804
1.2,3.00003,-0.05499999999999988,0.0960578359
1.2,3.00003,-0.04499999999999987,0.0926543242
1.2,3.00003,-0.034999999999999865,0.08896313465
1.2,3.00003,-0.024999999999999856,0.08588588624999999
1.2,3.00003,-0.014999999999999847,0.0819745169
1.2,3.00003,-0.004999999999999838,0.07920530075
1.2,3.00003,0.005000000000000171,0.0760751617
1.2,3.00003,0.01500000000000018,0.0738778157
1.2,3.00003,0.02500000000000019,0.071089955
1.2,3.00003,0.0350000000000002,0.06938195999999999
1.2,3.00003,0.045000000000000207,0.0673404549
1.2,3.00003,0.055000000000000215,0.065965791
1.2,3.00003,0.06500000000000022,0.064130016
1.2,3.00003,0.07500000000000023,0.06328068939999999
1.2,3.00003,0.08500000000000024,0.0622662572
1.2,3.00003,0.09500000000000025,0.0606753253
1.2,3.00003,0.10500000000000026,0.059445720300000005
1.2,3.00003,0.11500000000000027,0.0578805405
1.2,3.00003,0.12500000000000028,0.05529158175
1.2,3.00003,0.1350000000000003,0.053360942
1.2,3.00003,0.1450000000000003,0.0513731696
1.2,3.00003,0.1550000000000003,0.0490803402
1.2,3.00003,0.1650000000000003,0.04663413925
1.2,3.00003,0.17500000000000032,0.04387395055
1.2,3.00003,0.18500000000000033,0.040493178500000004
1.2,3.00003,0.19500000000000034,0.037451575
1.2,3.00003,0.20500000000000035,0.03475030155
1.2,3.00003,0.21500000000000036,0.03054927175
1.2,3.00003,0.22500000000000037,0.0254532167
1.2,3.00003,0.23500000000000038,0.022287760499999996
2.0,3.80005,-0.195,0.1496245625
2.0,3.80005,-0.185,0.1457568645
2.0,3.80005,-0.175,0.1422377135
2.0,3.80005,-0.16499999999999998,0.138410672
2.0,3.80005,-0.15499999999999997,0.134903156
2.0,3.80005,-0.14499999999999996,0.130925201
2.0,3.80005,-0.13499999999999995,0.1272684435
