step,time_s,com_x,num_particles
0,0.0,8.0,35100
1,0.2,8.04185525015356,35100
2,0.4,8.209112825651568,35100
3,0.6000000000000001,8.449475480305981,35100
4,0.8,8.802033768612251,35100
5,1.0,9.250639464142164,35100
6,1.2000000000000002,9.81915631303134,35100
7,1.4,10.489884228942737,35100
8,1.6,11.279545374418518,35100
9,1.8,12.164866087227066,35100
10,2.0,13.140612396625071,35100
11,2.2,14.150510992324064,35098
12,2.4000000000000004,15.11454121846544,35098
13,2.6,16.0227814361371,35098
14,2.8000000000000003,16.863289550862444,35098
15,3.0,17.65012282756539,35098
16,3.2,18.38363219906348,35098
17,3.4000000000000004,19.06718926158727,35098
18,3.6,19.706807608130664,35098
19,3.8,20.31190399885663,35098
20,4.0,20.88042893294034,35098
21,4.2,21.418391637860275,35098
22,4.4,21.92568450140464,35098
23,4.6000000000000005,22.408122264133283,35098
24,4.800000000000001,22.867771359541283,35098
25,5.0,23.30178362315773,35098
26,5.2,23.71187425829107,35098
27,5.4,24.10114792709528,35098
28,5.6000000000000005,24.462632273177107,35098
29,5.800000000000001,24.800833925741923,35098
30,6.0,25.115703379554105,35098
31,6.2,25.408818399874352,35098
32,6.4,25.683386506052766,35098
33,6.6000000000000005,25.94895914804889,35098
34,6.800000000000001,26.210872817349703,35098
35,7.0,26.468560524929057,35098
36,7.2,26.7203569400832,35098
37,7.4,26.964998041271294,35098
38,7.6,27.20477084898798,35098
39,7.800000000000001,27.43839581424184,35098
40,8.0,27.65999024255798,35098
41,8.200000000000001,27.87216920877144,35098
42,8.4,28.068514591134853,35097
43,8.6,28.247272572306752,35097
44,8.8,28.412088407008003,35097
45,9.0,28.56898575770892,35097
46,9.2,28.71758123764795,35097
47,9.4,28.85302206870986,35097
48,9.6,28.97678479284868,35097
49,9.8,29.091625199982623,35097
50,10.0,29.195347932482548,35097
