block,step,time_s,com_x,num_particles
1,0,0.0,7.5,35100
2,0,0.0,8.0,35100
1,1,0.2,7.532924167422222,35100
2,1,0.2,8.04185525015356,35100
1,2,0.4,7.679158447684616,35100
2,2,0.4,8.209112825651568,35100
1,3,0.6000000000000001,7.896052237957265,35100
2,3,0.6000000000000001,8.449475480305981,35100
1,4,0.8,8.2180457501094,35100
2,4,0.8,8.802033768612251,35100
1,5,1.0,8.62764812270228,35100
2,5,1.0,9.250639464142164,35100
1,6,1.2000000000000002,9.146459665489745,35100
2,6,1.2000000000000002,9.819156313031339,35100
1,7,1.4000000000000001,9.75869166218718,35100
2,7,1.4000000000000001,10.489884228942735,35100
1,8,1.6,10.480238586462107,35100
2,8,1.6,11.279545374418518,35100
1,9,1.8,11.290808577621938,35100
2,9,1.8,12.164866087227066,35100
1,10,2.0,12.185312429284044,35100
2,10,2.0,13.140612396625071,35100
1,11,2.2,13.12084643093191,35100
2,11,2.2,14.150510992324064,35098
1,12,2.4000000000000004,14.03119648099886,35100
2,12,2.4000000000000004,15.11454121846544,35098
1,13,2.6,14.89862674399715,35100
2,13,2.6,16.0227814361371,35098
1,14,2.8000000000000003,15.709974158636753,35100
2,14,2.8000000000000003,16.863289550862444,35098
1,15,3.0,16.47366057981054,35100
2,15,3.0,17.65012282756539,35098
1,16,3.2,17.189617724786896,35100
2,16,3.2,18.38363219906348,35098
1,17,3.4000000000000004,17.85905955948604,35100
2,17,3.4000000000000004,19.06718926158727,35098
1,18,3.6,18.486281157174357,35100
2,18,3.6,19.706807608130664,35098
1,19,3.8000000000000003,19.0808000539302,35100
2,19,3.8000000000000003,20.31190399885663,35098
1,20,4.0,19.639783383833617,35100
2,20,4.0,20.88042893294034,35098
1,21,4.2,20.16796049119544,35100
2,21,4.2,21.418391637860275,35098
1,22,4.4,20.66579780119345,35100
2,22,4.4,21.925684501404636,35098
1,23,4.6000000000000005,21.138989812455844,35100
2,23,4.6000000000000005,22.408122264133283,35098
1,24,4.800000000000001,21.589019729589175,35100
2,24,4.800000000000001,22.867771359541283,35098
1,25,5.0,22.013133124188034,35100
2,25,5.0,23.30178362315773,35098
1,26,5.2,22.41313551754074,35100
2,26,5.2,23.71187425829107,35098
1,27,5.4,22.792429119333907,35100
2,27,5.4,24.101147927095276,35098
1,28,5.6000000000000005,23.143753449941023,35100
2,28,5.6000000000000005,24.462632273177107,35098
1,29,5.800000000000001,23.47118564376952,35100
2,29,5.800000000000001,24.800833925741923,35098
1,30,6.0,23.77486738488775,35100
2,30,6.0,25.115703379554105,35098
1,31,6.2,24.057620352614528,35100
2,31,6.2,25.408818399874352,35098
1,32,6.4,24.323197394261538,35100
2,32,6.4,25.683386506052766,35098
1,33,6.6000000000000005,24.57618635585014,35100
2,33,6.6000000000000005,25.94895914804889,35098
1,34,6.800000000000001,24.820421200843306,35100
2,34,6.800000000000001,26.210872817349706,35098
1,35,7.0,25.059569738380056,35100
2,35,7.0,26.468560524929057,35098
1,36,7.2,25.292881095153277,35100
2,36,7.2,26.7203569400832,35098
1,37,7.4,25.51959670059174,35100
2,37,7.4,26.964998041271294,35098
1,38,7.6000000000000005,25.742511188979485,35100
2,38,7.6000000000000005,27.20477084898798,35098
1,39,7.800000000000001,25.96009480059231,35100
2,39,7.800000000000001,27.43839581424184,35098
1,40,8.0,26.166437321355275,35100
2,40,8.0,27.65999024255798,35098
1,41,8.200000000000001,26.364350373127355,35100
2,41,8.200000000000001,27.87216920877144,35098
1,42,8.4,26.549117421011395,35100
2,42,8.4,28.068514591134853,35097
1,43,8.6,26.71526811162821,35100
2,43,8.6,28.247272572306752,35097
1,44,8.8,26.86856354457379,35100
2,44,8.8,28.412088407008003,35097
1,45,9.0,27.014932365983192,35100
2,45,9.0,28.56898575770892,35097
1,46,9.200000000000001,27.153552051921366,35100
2,46,9.200000000000001,28.71758123764795,35097
1,47,9.4,27.280193634212537,35100
2,47,9.4,28.85302206870986,35097
1,48,9.600000000000001,27.39690876690826,35100
2,48,9.600000000000001,28.976784792848676,35097
1,49,9.8,27.505725694171225,35100
2,49,9.8,29.091625199982623,35097
1,50,10.0,27.602870027684048,35100
2,50,10.0,29.195347932482548,35097
