mk,step,time_s,com_x,num_particles
10,0,0.0,50.0,115515
10,1,0.2,50.0,115515
10,2,0.4,50.0,115515
10,3,0.6000000000000001,50.0,115515
10,4,0.8,50.0,115515
10,5,1.0,50.0,115515
10,6,1.2000000000000002,50.0,115515
10,7,1.4000000000000001,50.0,115515
10,8,1.6,50.0,115515
10,9,1.8,50.0,115515
10,10,2.0,50.0,115515
10,11,2.2,50.0,115515
10,12,2.4000000000000004,50.0,115515
10,13,2.6,50.0,115515
10,14,2.8000000000000003,50.0,115515
10,15,3.0,50.0,115515
10,16,3.2,50.0,115515
10,17,3.4000000000000004,50.0,115515
10,18,3.6,50.0,115515
10,19,3.8000000000000003,50.0,115515
10,20,4.0,50.0,115515
10,21,4.2,50.0,115515
10,22,4.4,50.0,115515
10,23,4.6000000000000005,50.0,115515
10,24,4.800000000000001,50.0,115515
10,25,5.0,50.0,115515
10,26,5.2,50.0,115515
10,27,5.4,50.0,115515
10,28,5.6000000000000005,50.0,115515
10,29,5.800000000000001,50.0,115515
10,30,6.0,50.0,115515
10,31,6.2,50.0,115515
10,32,6.4,50.0,115515
10,33,6.6000000000000005,50.0,115515
10,34,6.800000000000001,50.0,115515
10,35,7.0,50.0,115515
10,36,7.2,50.0,115515
10,37,7.4,50.0,115515
10,38,7.6000000000000005,50.0,115515
10,39,7.800000000000001,50.0,115515
10,40,8.0,50.0,115515
10,41,8.200000000000001,50.0,115515
10,42,8.4,50.0,115515
10,43,8.6,50.0,115515
10,44,8.8,50.0,115515
10,45,9.0,50.0,115515
10,46,9.200000000000001,50.0,115515
10,47,9.4,50.0,115515
10,48,9.600000000000001,50.0,115515
10,49,9.8,50.0,115515
10,50,10.0,50.0,115515
