mk,step,time_s,com_x,num_particles
64,21,4.2,51.91320607191626,2197
65,21,4.2,45.14166826263086,2197
10,22,4.4,50.0,115515
60,22,4.4,45.66744492307692,2028
61,22,4.4,54.80513134861933,2028
62,22,4.4,62.3146357204142,2028
63,22,4.4,43.854474797906235,2197
64,22,4.4,53.32225273099681,2197
65,22,4.4,45.862213676376875,2197
10,23,4.6000000000000005,50.0,115515
60,23,4.6000000000000005,46.10733419674556,2028
61,23,4.6000000000000005,56.20277658086785,2028
62,23,4.6000000000000005,64.6186115443787,2028
63,23,4.6000000000000005,44.24530664952207,2197
64,23,4.6000000000000005,54.68860124305872,2197
65,23,4.6000000000000005,46.772631562585346,2197
10,24,4.800000000000001,50.0,115515
60,24,4.800000000000001,46.614411109467454,2028
61,24,4.800000000000001,57.655782886587765,2028
62,24,4.800000000000001,66.9340967943787,2028
63,24,4.800000000000001,44.723048543468366,2197
64,24,4.800000000000001,56.03087072189349,2197
65,24,4.800000000000001,47.80016942057351,2197
10,25,5.0,50.0,115515
60,25,5.0,47.17545817406312,2028
61,25,5.0,59.13877287721894,2028
62,25,5.0,69.23897813510848,2028
63,25,5.0,45.2694809126081,2197
64,25,5.0,57.346260313154296,2197
65,25,5.0,48.8667159167046,2197
10,26,5.2,50.0,115515
60,26,5.2,47.78215462376726,2028
61,26,5.2,60.65502387771203,2028
62,26,5.2,71.53398451775148,2028
63,26,5.2,45.87417422394174,2197
64,26,5.2,58.629239751934456,2197
65,26,5.2,49.927486859353664,2197
10,27,5.4,50.0,115515
60,27,5.4,48.437061858481265,2028
61,27,5.4,62.22844764250493,2028
62,27,5.4,73.84933511143986,2028
63,27,5.4,46.538389646335915,2197
64,27,5.4,59.88962059854347,2197
65,27,5.4,51.04873748975876,2197
10,28,5.6000000000000005,50.0,115515
60,28,5.6000000000000005,49.131598997041415,2028
61,28,5.6000000000000005,63.83480892110454,2028
62,28,5.6000000000000005,76.14981019428006,2028
63,28,5.6000000000000005,47.25229109922622,2197
64,28,5.6000000000000005,61.10534590760128,2197
65,28,5.6000000000000005,52.24500653026855,2197
10,29,5.800000000000001,50.0,115515
60,29,5.800000000000001,49.88150861242603,2028
61,29,5.800000000000001,65.48244549605523,2028
62,29,5.800000000000001,78.45790313461538,2028
63,29,5.800000000000001,48.02284960355029,2197
64,29,5.800000000000001,62.29429796995903,2197
65,29,5.800000000000001,53.51103771961766,2197
10,30,6.0,50.0,115515
60,30,6.0,50.70014646942801,2028
61,30,6.0,67.15782703648915,2028
62,30,6.0,80.76313588017751,2028
63,30,6.0,48.86196390168411,2197
64,30,6.0,63.45563797906236,2197
65,30,6.0,54.81861190077379,2197
10,31,6.2,50.0,115515
60,31,6.2,51.60314864250493,2028
61,31,6.2,68.86807037031558,2028
62,31,6.2,83.0683603668639,2028
63,31,6.2,49.773617583522984,2197
64,31,6.2,64.58385533363676,2197
65,31,6.2,56.18847686253983,2197
10,32,6.4,50.0,115515
60,32,6.4,52.595201433431946,2028
61,32,6.4,70.6178119403353,2028
62,32,6.4,85.36724645512822,2028
63,32,6.4,50.7522502580792,2197
64,32,6.4,65.66575029267183,2197
65,32,6.4,57.601086035502966,2197
10,33,6.6000000000000005,50.0,115515
60,33,6.6000000000000005,53.66963392899408,2028
61,33,6.6000000000000005,72.4781539704142,2028
62,33,6.6000000000000005,87.67474680078895,2028
63,33,6.6000000000000005,51.78699557350934,2197
64,33,6.6000000000000005,66.65971364770141,2197
65,33,6.6000000000000005,59.038438102867545,2197
10,34,6.800000000000001,50.0,115515
60,34,6.800000000000001,54.76530850246548,2028
61,34,6.800000000000001,74.43046379832347,2028
62,34,6.800000000000001,89.98062894871795,2028
63,34,6.800000000000001,52.84522523076923,2197
64,34,6.800000000000001,67.57251649021393,2197
65,34,6.800000000000001,60.461925958124716,2197
10,35,7.0,50.0,115515
60,35,7.0,55.84229362869822,2028
61,35,7.0,76.40877090680473,2028
62,35,7.0,92.28612975345168,2028
63,35,7.0,53.90265373099681,2197
64,35,7.0,68.48446937596722,2197
65,35,7.0,61.83324759308148,2197
10,36,7.2,50.0,115515
60,36,7.2,56.88406469674556,2028
61,36,7.2,78.39715470266272,2028
62,36,7.2,94.59523592948716,2028
63,36,7.2,54.948788798361406,2197
64,36,7.2,69.49465321301774,2197
65,36,7.2,63.10682896449704,2197
10,37,7.4,50.0,115515
60,37,7.4,57.86404563856016,2028
61,37,7.4,80.38424889003944,2028
62,37,7.4,94.95339455128206,2028
63,37,7.4,55.966238593991804,2197
64,37,7.4,70.5921703723259,2197
65,37,7.4,64.27265818070097,2197
10,38,7.6000000000000005,50.0,115515
60,38,7.6000000000000005,58.78179929733728,2028
61,38,7.6000000000000005,82.37716984023669,2028
62,38,7.6000000000000005,93.10322763412229,2028
63,38,7.6000000000000005,56.943047292216654,2197
64,38,7.6000000000000005,71.73969141238052,2197
65,38,7.6000000000000005,65.36230438552572,2197
10,39,7.800000000000001,50.0,115515
60,39,7.800000000000001,59.649254609467455,2028
61,39,7.800000000000001,83.9387777075937,2028
62,39,7.800000000000001,91.68515669921103,2028
63,39,7.800000000000001,57.86849972963132,2197
64,39,7.800000000000001,72.90592821165225,2197
65,39,7.800000000000001,66.42072069640419,2197
10,40,8.0,50.0,115515
60,40,8.0,60.46354088067062,2028
61,40,8.0,82.75026250443787,2028
62,40,8.0,93.12288437771204,2028
63,40,8.0,58.730638796995905,2197
64,40,8.0,74.06840715293582,2197
65,40,8.0,67.45720341055986,2197
10,41,8.200000000000001,50.0,115515
60,41,8.200000000000001,61.22499384812624,2028
61,41,8.200000000000001,81.98810510404338,2028
62,41,8.200000000000001,94.56341034270217,2028
63,41,8.200000000000001,59.52899254619936,2197
64,41,8.200000000000001,74.8739356841147,2197
65,41,8.200000000000001,68.45476742193902,2197
10,42,8.4,50.0,115515
60,42,8.4,61.93670059566075,2028
61,42,8.4,82.7394114102564,2028
62,42,8.4,95.73521757396449,2028
63,42,8.4,60.265469502958574,2197
64,42,8.4,74.83770093582159,2197
65,42,8.4,68.9767014610833,2197
10,43,8.6,50.0,115515
60,43,8.6,62.576395552268245,2028
61,43,8.6,84.05644912869822,2028
62,43,8.6,95.56889563757396,2028
63,43,8.6,60.93010522212107,2197
64,43,8.6,74.74162876012745,2197
65,43,8.6,69.33492187847064,2197
10,44,8.8,50.0,115515
60,44,8.8,63.11679131311637,2028
61,44,8.8,85.39700954881657,2028
62,44,8.8,94.39424701429981,2028
63,44,8.8,61.51817208010924,2197
64,44,8.8,74.85974913154301,2197
65,44,8.8,69.75076061993629,2197
10,45,9.0,50.0,115515
60,45,9.0,63.55176035946746,2028
61,45,9.0,85.10063359763313,2028
62,45,9.0,94.73481222583825,2028
63,45,9.0,62.01949318752844,2197
64,45,9.0,75.22673128129267,2197
65,45,9.0,70.06973188393263,2197
10,46,9.200000000000001,50.0,115515
60,46,9.200000000000001,63.91869262228797,2028
61,46,9.200000000000001,83.80448096992109,2028
62,46,9.200000000000001,96.00818956755424,2028
63,46,9.200000000000001,62.42897124988622,2197
64,46,9.200000000000001,75.67722064815658,2197
65,46,9.200000000000001,70.37133615885298,2197
10,47,9.4,50.0,115515
60,47,9.4,64.22276814201184,2028
61,47,9.4,83.75155046301776,2028
62,47,9.4,94.7968579689349,2028
63,47,9.4,62.74984488529814,2197
64,47,9.4,75.0972055739645,2197
65,47,9.4,70.68811033500228,2197
10,48,9.600000000000001,50.0,115515
60,48,9.600000000000001,64.39038758333334,2028
61,48,9.600000000000001,84.10118728796844,2028
62,48,9.600000000000001,92.92042657396449,2028
63,48,9.600000000000001,62.97211518070096,2197
64,48,9.600000000000001,74.46443641693219,2197
65,48,9.600000000000001,70.99594145197997,2197
10,49,9.8,50.0,115515
60,49,9.8,64.50981441518738,2028
61,49,9.8,84.17425693688362,2028
62,49,9.8,91.32353889447732,2028
63,49,9.8,63.09612969458352,2197
64,49,9.8,74.03659176058261,2197
65,49,9.8,71.29991415248065,2197
10,50,10.0,50.0,115515
60,50,10.0,64.5753184418146,2028
61,50,10.0,83.0375554842209,2028
62,50,10.0,91.0529090581854,2028
63,50,10.0,63.136928625853436,2197
64,50,10.0,73.91035745880747,2197
65,50,10.0,71.57475542284935,2197
