step,time_s,com_x,num_particles
0,0.0,7.75,70200
1,0.2,7.7873897087878925,70200
2,0.4,7.944135636668092,70200
3,0.6000000000000001,8.172763859131626,70200
4,0.8,8.510039759360826,70200
5,1.0,8.939143793422222,70200
6,1.2000000000000002,9.482807989260541,70200
7,1.4000000000000001,10.124287945564957,70200
8,1.6,10.879891980440313,70200
9,1.8,11.727837332424501,70200
10,2.0,12.66296241295456,70200
11,2.2,13.63566404362375,70198
12,2.4000000000000004,14.572853417031254,70198
13,2.6,15.460688076011282,70198
14,2.8000000000000003,16.28661542528733,70198
15,3.0,17.061874944489016,70198
16,3.2,17.786607952687397,70198
17,3.4000000000000004,18.463107200221515,70198
18,3.6,19.096526995740476,70198
19,3.8000000000000003,19.696334488800535,70198
20,4.0,20.26008848486994,70198
21,4.2,20.793158251610873,70198
22,4.4,21.29572320368372,70198
23,4.6000000000000005,21.77353795896963,70198
24,4.800000000000001,22.228377328211057,70198
25,5.0,22.657440016305166,70198
26,5.2,23.062486386836945,70198
27,5.4,23.446769879965384,70198
28,5.6000000000000005,23.803174073576173,70198
29,5.800000000000001,24.13599084335736,70198
30,6.0,24.4452662814489,70198
31,6.2,24.733200127860627,70198
32,6.4,25.00327257369184,70198
33,6.6000000000000005,25.262553196224395,70198
34,6.800000000000001,25.5156272015291,70198
35,7.0,25.764045059988888,70198
36,7.2,26.006598682625146,70198
37,7.4,26.24227678058221,70198
38,7.6000000000000005,26.473620188480584,70198
39,7.800000000000001,26.699224248398103,70198
40,8.0,26.913192505667826,70198
41,8.200000000000001,27.118238311436652,70198
42,8.4,27.308783538934144,70197
43,8.6,27.481237605430437,70197
44,8.8,27.6402929930809,70197
45,9.0,27.79192585415787,70197
46,9.200000000000001,27.935533223929372,70197
47,9.4,28.06657424257974,70197
48,9.600000000000001,28.186813020401015,70197
49,9.8,28.298641558887134,70197
50,10.0,28.39907495132342,70197
