step,time_s,com_x,num_particles
0,0.0,9.5,2340
1,0.2,9.523394312051282,2340
2,0.4,9.668543161752137,2340
3,0.6000000000000001,9.911497032905983,2340
4,0.8,10.296642880299144,2340
5,1.0,10.79530341871795,2340
6,1.2000000000000002,11.43185282008547,2340
7,1.4000000000000001,12.182900228846155,2340
8,1.6,13.065508047692308,2340
9,1.8,14.060142303888888,2340
10,2.0,15.169859349615383,2340
11,2.2,16.358813015427348,2340
12,2.4000000000000004,17.604184999444445,2340
13,2.6,18.89090771200855,2340
14,2.8000000000000003,20.17420631491453,2340
15,3.0,21.43976194863248,2340
16,3.2,22.663424212777777,2340
17,3.4000000000000004,23.820375808589745,2340
18,3.6,24.89379018162393,2340
19,3.8000000000000003,25.879240229401713,2340
20,4.0,26.762331890982907,2340
21,4.2,27.549720904059832,2340
22,4.4,28.25246218213675,2340
23,4.6000000000000005,28.886486454700854,2340
24,4.800000000000001,29.460240334444446,2340
25,5.0,29.97705929807692,2340
26,5.2,30.44714842555556,2340
27,5.4,30.884267532564103,2340
28,5.6000000000000005,31.281995702777774,2340
29,5.800000000000001,31.63757236867521,2340
30,6.0,31.94167982042735,2340
31,6.2,32.19144745358974,2340
32,6.4,32.39418146547008,2340
33,6.6000000000000005,32.566844045470084,2340
34,6.800000000000001,32.731864535341884,2340
35,7.0,32.90961861957265,2340
36,7.2,33.10572745705128,2340
37,7.4,33.31235623799145,2340
38,7.6000000000000005,33.52614016940171,2340
39,7.800000000000001,33.74432193384615,2340
40,8.0,33.96265698435897,2340
41,8.200000000000001,34.18025029162393,2340
42,8.4,34.39622286504274,2340
43,8.6,34.60599438290599,2340
44,8.8,34.809962665641024,2340
45,9.0,35.0068757324359,2340
46,9.200000000000001,35.194278874017094,2340
47,9.4,35.372139600982905,2340
48,9.600000000000001,35.539854540213675,2340
49,9.8,35.69694681440171,2340
50,10.0,35.84510033200855,2340
