mk,step,time_s,com_x,num_particles
60,0,0.0,43.0,2028
60,1,0.2,43.0,2028
60,2,0.4,43.0,2028
60,3,0.6000000000000001,43.0,2028
60,4,0.8,43.0,2028
60,5,1.0,43.0,2028
60,6,1.2000000000000002,43.0,2028
60,7,1.4,43.0,2028
60,8,1.6,43.0,2028
60,9,1.8,43.0,2028
60,10,2.0,43.0,2028
60,11,2.2,43.11341626429981,2028
60,12,2.4000000000000004,43.57831426282051,2028
60,13,2.6,44.0275959566075,2028
60,14,2.8000000000000003,44.39874230374753,2028
60,15,3.0,44.59294425591716,2028
60,16,3.2,44.636259006410256,2028
60,17,3.4000000000000004,44.60553892455621,2028
60,18,3.6,44.62624384960552,2028
60,19,3.8,44.75623139398422,2028
60,20,4.0,44.98926737426036,2028
60,21,4.2,45.29638186242604,2028
60,22,4.4,45.66744492307692,2028
60,23,4.6000000000000005,46.10733419674556,2028
60,24,4.800000000000001,46.614411109467454,2028
60,25,5.0,47.17545817406312,2028
60,26,5.2,47.78215462376726,2028
60,27,5.4,48.43706185848127,2028
60,28,5.6000000000000005,49.131598997041415,2028
60,29,5.800000000000001,49.88150861242603,2028
60,30,6.0,50.70014646942801,2028
60,31,6.2,51.60314864250493,2028
60,32,6.4,52.595201433431946,2028
60,33,6.6000000000000005,53.66963392899408,2028
60,34,6.800000000000001,54.76530850246548,2028
60,35,7.0,55.84229362869822,2028
60,36,7.2,56.88406469674556,2028
60,37,7.4,57.86404563856016,2028
60,38,7.6,58.78179929733728,2028
60,39,7.800000000000001,59.649254609467455,2028
60,40,8.0,60.46354088067062,2028
60,41,8.200000000000001,61.22499384812624,2028
60,42,8.4,61.93670059566075,2028
60,43,8.6,62.576395552268245,2028
60,44,8.8,63.11679131311637,2028
60,45,9.0,63.55176035946746,2028
60,46,9.2,63.91869262228797,2028
60,47,9.4,64.22276814201184,2028
60,48,9.6,64.39038758333334,2028
60,49,9.8,64.50981441518738,2028
60,50,10.0,64.5753184418146,2028
