mk,nsteps,x_initial,x_final,dx
60,51,43.0,64.5753184418146,21.575318441814602
61,51,43.0,83.0375554842209,40.0375554842209
62,51,43.0,91.0529090581854,48.052909058185406
63,51,43.0,63.13692862585344,20.136928625853443
64,51,43.0,73.91035745880747,30.910357458807468
65,51,43.0,71.57475542284935,28.57475542284935
