step,time_s,com_x,num_particles
0,0.0,4.5,2340
1,0.2,4.505351591495726,2340
2,0.4,4.556966977948718,2340
3,0.6000000000000001,4.628781283846154,2340
4,0.8,4.74960290525641,2340
5,1.0,4.9073067751282045,2340
6,1.2000000000000002,5.109246764017094,2340
7,1.4000000000000001,5.338133111581197,2340
8,1.6,5.598064906196582,2340
9,1.8,5.875605427136753,2340
10,2.0,6.170108398247864,2340
11,2.2,6.472183061495726,2340
12,2.4000000000000004,6.7823840375641025,2340
13,2.6,7.1102624701282044,2340
14,2.8000000000000003,7.441755461495728,2340
15,3.0,7.789064526752138,2340
16,3.2,8.154609684230769,2340
17,3.4000000000000004,8.535977557222221,2340
18,3.6,8.92967937559829,2340
19,3.8000000000000003,9.336760724572647,2340
20,4.0,9.749286026965812,2340
21,4.2,10.165003106452993,2340
22,4.4,10.576208052692307,2340
23,4.6000000000000005,10.98131501628205,2340
24,4.800000000000001,11.375043609358974,2340
25,5.0,11.747032646025641,2340
26,5.2,12.091719833418802,2340
27,5.4,12.408500016581197,2340
28,5.6000000000000005,12.688908065811965,2340
29,5.800000000000001,12.934416400341881,2340
30,6.0,13.143836074401708,2340
31,6.2,13.318586055384616,2340
32,6.4,13.460633831965813,2340
33,6.6000000000000005,13.573043117051283,2340
34,6.800000000000001,13.65994265965812,2340
35,7.0,13.730122652136753,2340
36,7.2,13.788868535170941,2340
37,7.4,13.84186965491453,2340
38,7.6000000000000005,13.893174565085472,2340
39,7.800000000000001,13.945233229957264,2340
40,8.0,13.999425381068376,2340
41,8.200000000000001,14.05677024094017,2340
42,8.4,14.117997770897437,2340
43,8.6,14.182734846068376,2340
44,8.8,14.251121557521367,2340
45,9.0,14.323081575170942,2340
46,9.200000000000001,14.39793974974359,2340
47,9.4,14.475368734017094,2340
48,9.600000000000001,14.5551067191453,2340
49,9.8,14.636226119529915,2340
50,10.0,14.718806388632482,2340
