time,step,mk,x_com,count
0.0,0,60,43.0,2028
0.2,1,60,43.0,2028
0.4,2,60,43.0,2028
0.6000000000000001,3,60,43.0,2028
0.8,4,60,43.0,2028
1.0,5,60,43.0,2028
1.2000000000000002,6,60,43.0,2028
1.4000000000000001,7,60,43.0,2028
1.6,8,60,43.0,2028
1.8,9,60,43.0,2028
2.0,10,60,43.0,2028
2.2,11,60,43.11341626429981,2028
2.4000000000000004,12,60,43.57831426282051,2028
2.6,13,60,44.0275959566075,2028
2.8000000000000003,14,60,44.39874230374753,2028
3.0,15,60,44.59294425591716,2028
3.2,16,60,44.636259006410256,2028
3.4000000000000004,17,60,44.605538924556214,2028
3.6,18,60,44.62624384960552,2028
3.8000000000000003,19,60,44.75623139398422,2028
4.0,20,60,44.98926737426036,2028
4.2,21,60,45.29638186242604,2028
4.4,22,60,45.66744492307692,2028
4.6000000000000005,23,60,46.10733419674556,2028
4.800000000000001,24,60,46.614411109467454,2028
5.0,25,60,47.17545817406312,2028
5.2,26,60,47.78215462376726,2028
5.4,27,60,48.437061858481265,2028
5.6000000000000005,28,60,49.131598997041415,2028
5.800000000000001,29,60,49.88150861242603,2028
6.0,30,60,50.70014646942801,2028
6.2,31,60,51.60314864250493,2028
6.4,32,60,52.595201433431946,2028
6.6000000000000005,33,60,53.66963392899408,2028
6.800000000000001,34,60,54.76530850246548,2028
7.0,35,60,55.84229362869822,2028
7.2,36,60,56.88406469674556,2028
7.4,37,60,57.86404563856016,2028
7.6000000000000005,38,60,58.78179929733728,2028
7.800000000000001,39,60,59.649254609467455,2028
8.0,40,60,60.46354088067062,2028
8.200000000000001,41,60,61.22499384812624,2028
8.4,42,60,61.93670059566075,2028
8.6,43,60,62.576395552268245,2028
8.8,44,60,63.11679131311637,2028
9.0,45,60,63.55176035946746,2028
9.200000000000001,46,60,63.91869262228797,2028
9.4,47,60,64.22276814201184,2028
9.600000000000001,48,60,64.39038758333334,2028
9.8,49,60,64.50981441518738,2028
10.0,50,60,64.5753184418146,2028
0.0,0,61,43.0,2028
0.2,1,61,43.0,2028
0.4,2,61,43.0,2028
0.6000000000000001,3,61,43.0,2028
0.8,4,61,43.0,2028
1.0,5,61,43.0,2028
1.2000000000000002,6,61,43.0,2028
1.4000000000000001,7,61,43.0,2028
1.6,8,61,43.0,2028
1.8,9,61,43.0,2028
2.0,10,61,43.0,2028
2.2,11,61,43.231257285502956,2028
2.4000000000000004,12,61,43.95269715384616,2028
2.6,13,61,44.893274741617354,2028
2.8000000000000003,14,61,45.92955125246548,2028
3.0,15,61,46.96177341715976,2028
3.2,16,61,48.033842499506896,2028
3.4000000000000004,17,61,49.05577344674556,2028
3.6,18,61,50.05778624260355,2028
3.8000000000000003,19,61,51.1024419556213,2028
4.0,20,61,52.23497924013807,2028
4.2,21,61,53.479384999506905,2028
4.4,22,61,54.80513134861933,2028
4.6000000000000005,23,61,56.20277658086785,2028
4.800000000000001,24,61,57.655782886587765,2028
5.0,25,61,59.13877287721894,2028
5.2,26,61,60.65502387771203,2028
5.4,27,61,62.22844764250493,2028
5.6000000000000005,28,61,63.83480892110454,2028
5.800000000000001,29,61,65.48244549605523,2028
6.0,30,61,67.15782703648915,2028
6.2,31,61,68.86807037031558,2028
6.4,32,61,70.6178119403353,2028
6.6000000000000005,33,61,72.4781539704142,2028
6.800000000000001,34,61,74.43046379832347,2028
7.0,35,61,76.40877090680473,2028
7.2,36,61,78.39715470266272,2028
7.4,37,61,80.38424889003944,2028
7.6000000000000005,38,61,82.37716984023669,2028
7.800000000000001,39,61,83.9387777075937,2028
8.0,40,61,82.75026250443787,2028
8.200000000000001,41,61,81.98810510404338,2028
8.4,42,61,82.7394114102564,2028
8.6,43,61,84.05644912869822,2028
8.8,44,61,85.39700954881657,2028
9.0,45,61,85.10063359763313,2028
9.200000000000001,46,61,83.80448096992109,2028
9.4,47,61,83.75155046301776,2028
9.600000000000001,48,61,84.10118728796844,2028
9.8,49,61,84.17425693688362,2028
10.0,50,61,83.0375554842209,2028
0.0,0,62,43.0,2028
0.2,1,62,43.0,2028
0.4,2,62,43.0,2028
0.6000000000000001,3,62,43.0,2028
0.8,4,62,43.0,2028
1.0,5,62,43.0,2028
1.2000000000000002,6,62,43.0,2028
1.4000000000000001,7,62,43.0,2028
1.6,8,62,43.0,2028
1.8,9,62,43.0,2028
2.0,10,62,43.0,2028
2.2,11,62,43.13835045660749,2028
2.4000000000000004,12,62,43.85552627071006,2028
2.6,13,62,44.813450320019726,2028
2.8000000000000003,14,62,46.11103488461538,2028
3.0,15,62,47.56563325246549,2028
3.2,16,62,49.11797919921104,2028
3.4000000000000004,17,62,50.91973652169625,2028
3.6,18,62,53.10114669575936,2028
3.8000000000000003,19,62,55.401667522682445,2028
4.0,20,62,57.70707302564103,2028
4.2,21,62,60.01753000690336,2028
4.4,22,62,62.3146357204142,2028
4.6000000000000005,23,62,64.6186115443787,2028
4.800000000000001,24,62,66.9340967943787,2028
5.0,25,62,69.23897813510848,2028
5.2,26,62,71.53398451775148,2028
5.4,27,62,73.84933511143986,2028
5.6000000000000005,28,62,76.14981019428006,2028
5.800000000000001,29,62,78.45790313461538,2028
6.0,30,62,80.76313588017751,2028
6.2,31,62,83.0683603668639,2028
6.4,32,62,85.36724645512822,2028
6.6000000000000005,33,62,87.67474680078895,2028
6.800000000000001,34,62,89.98062894871795,2028
7.0,35,62,92.28612975345168,2028
7.2,36,62,94.59523592948716,2028
7.4,37,62,94.95339455128206,2028
7.6000000000000005,38,62,93.10322763412229,2028
7.800000000000001,39,62,91.68515669921103,2028
8.0,40,62,93.12288437771204,2028
8.200000000000001,41,62,94.56341034270217,2028
8.4,42,62,95.73521757396449,2028
8.6,43,62,95.56889563757396,2028
8.8,44,62,94.39424701429981,2028
9.0,45,62,94.73481222583825,2028
9.200000000000001,46,62,96.00818956755424,2028
9.4,47,62,94.7968579689349,2028
9.600000000000001,48,62,92.92042657396449,2028
9.8,49,62,91.32353889447732,2028
10.0,50,62,91.0529090581854,2028
0.0,0,63,43.0,2197
0.2,1,63,43.0,2197
0.4,2,63,43.0,2197
0.6000000000000001,3,63,43.0,2197
0.8,4,63,43.0,2197
1.0,5,63,43.0,2197
1.2000000000000002,6,63,43.0,2197
1.4000000000000001,7,63,43.0,2197
1.6,8,63,43.0,2197
1.8,9,63,43.0,2197
2.0,10,63,43.0,2197
2.2,11,63,43.013099536185706,2197
2.4000000000000004,12,63,43.2144251679563,2197
2.6,13,63,43.54557302776514,2197
2.8000000000000003,14,63,43.90824747974511,2197
3.0,15,63,44.198104665908055,2197
3.2,16,63,44.29443363404643,2197
3.4000000000000004,17,63,44.18781706918526,2197
3.6,18,63,43.97724096313155,2197
3.8000000000000003,19,63,43.73670293855257,2197
4.0,20,63,43.558346401001366,2197
4.2,21,63,43.60457519572144,2197
4.4,22,63,43.854474797906235,2197
4.6000000000000005,23,63,44.24530664952207,2197
4.800000000000001,24,63,44.723048543468366,2197
5.0,25,63,45.2694809126081,2197
5.2,26,63,45.87417422394174,2197
5.4,27,63,46.538389646335915,2197
5.6000000000000005,28,63,47.25229109922622,2197
5.800000000000001,29,63,48.02284960355029,2197
6.0,30,63,48.86196390168411,2197
6.2,31,63,49.773617583522984,2197
6.4,32,63,50.7522502580792,2197
6.6000000000000005,33,63,51.78699557350934,2197
6.800000000000001,34,63,52.84522523076923,2197
7.0,35,63,53.90265373099681,2197
7.2,36,63,54.948788798361406,2197
7.4,37,63,55.966238593991804,2197
7.6000000000000005,38,63,56.943047292216654,2197
7.800000000000001,39,63,57.86849972963132,2197
8.0,40,63,58.730638796995905,2197
8.200000000000001,41,63,59.52899254619936,2197
8.4,42,63,60.265469502958574,2197
8.6,43,63,60.93010522212107,2197
8.8,44,63,61.51817208010924,2197
9.0,45,63,62.01949318752844,2197
9.200000000000001,46,63,62.42897124988622,2197
9.4,47,63,62.74984488529814,2197
9.600000000000001,48,63,62.97211518070096,2197
9.8,49,63,63.09612969458352,2197
10.0,50,63,63.136928625853436,2197
0.0,0,64,43.0,2197
0.2,1,64,43.0,2197
0.4,2,64,43.0,2197
0.6000000000000001,3,64,43.0,2197
0.8,4,64,43.0,2197
