mk,n,xmin,xmax,ymin,ymax,zmin,zmax,xc,yc,zc
10,143904,-1.0,101.0,-1.0,21.0,-1.0,40.0,49.808059539693126,10.0,16.38792528352235
11,5886,79.0,83.0,2.0,18.0,-1.0,11.0,81.0,10.0,5.0
