Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;84;  0.000000000000E+00;  0.000000000000E+00; -3.524780321783E-06;  3.524780321783E-06;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  0.000000000000E+00;  0.000000000000E+00; -6.592320146656E+01;  6.592320146656E+01
1;0.010022;84;  1.682940101565E-03;  0.000000000000E+00;  2.060842926217E-02;  2.067703179954E-02;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.682940101565E-03;  0.000000000000E+00; -6.590258951252E+01;  6.590258953401E+01
2;0.020021;84;  5.961707086945E-03;  8.703983372053E-41;  7.328224672798E-02;  7.352434723880E-02;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  5.961707086945E-03;  8.703983372053E-41; -6.584991569505E+01;  6.584991596492E+01
3;0.030008;84;  6.219945435242E-03; -1.712947268316E-40;  7.732096215071E-02;  7.757073487553E-02;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  6.219945435242E-03; -1.712947268316E-40; -6.584587697963E+01;  6.584587727340E+01
4;0.040035;84;  8.649939455105E-03;  2.625561123686E-40;  1.093004281119E-01;  1.096421681563E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  8.649939455105E-03;  2.625561123686E-40; -6.581389751367E+01;  6.581389808210E+01
5;0.050043;84;  1.116381125282E-02;  5.420808423673E-39;  1.450664580027E-01;  1.454953879652E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.116381125282E-02;  5.420808423673E-39; -6.577813148378E+01;  6.577813243113E+01
6;0.060015;84;  1.096624868226E-02; -1.872565171052E-38;  1.482430518306E-01;  1.486481114115E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.096624868226E-02; -1.872565171052E-38; -6.577495488995E+01;  6.577495580412E+01
7;0.070039;84;  1.317981955258E-02;  4.719651490629E-38;  1.878201550815E-01;  1.882820179897E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.317981955258E-02;  4.719651490629E-38; -6.573537778670E+01;  6.573537910796E+01
8;0.080014;84;  1.448792231542E-02; -5.503508982491E-38;  2.214862894637E-01;  2.219596276656E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.448792231542E-02; -5.503508982491E-38; -6.570171165232E+01;  6.570171324969E+01
9;0.090007;84;  1.385613150599E-02; -3.109780585963E-38;  2.323776317891E-01;  2.327903695092E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.385613150599E-02; -3.109780585963E-38; -6.569082030999E+01;  6.569082177132E+01
10;0.100018;84;  1.482667104055E-02;  5.368517817429E-37;  2.798530658462E-01;  2.802455506117E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.482667104055E-02;  5.368517817429E-37; -6.564334487593E+01;  6.564334655036E+01
11;0.110033;84;  1.325309213697E-02;  1.910296153892E-36;  2.938757978361E-01;  2.941744873455E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.325309213697E-02;  1.910296153892E-36; -6.562932214394E+01;  6.562932348210E+01
12;0.120004;84;  1.163079577193E-02; -3.583794740296E-37;  3.203587617928E-01;  3.205698233890E-01;  0.000000000000E+00;  0.000000000000E+00; -6.592319794178E+01;  1.163079577193E-02; -3.583794740296E-37; -6.560283917999E+01;  6.560284021101E+01
