Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
23;0.230022;80; -5.971030988260E+00; -2.479740273917E-34; -3.152570012697E+00;  6.752178074349E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.971030988260E+00; -2.479740273917E-34; -6.593657094825E+01;  6.620637884280E+01
24;0.240015;80;  4.534132132759E+01;  8.551599104047E-33;  7.263484546177E+01;  8.562509091958E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.534132132759E+01;  8.551599104047E-33;  9.850844526214E+00;  4.639907927548E+01
25;0.250032;80;  1.283019809540E+01; -2.925586334761E-35;  5.447147431480E+00;  1.393862971413E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.283019809540E+01; -2.925586334761E-35; -5.733685350407E+01;  5.875481897611E+01
26;0.260035;80;  1.940716598484E+00;  8.037137185167E-35;  7.935580657953E-01;  2.096691517467E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.940716598484E+00;  8.037137185167E-35; -6.199044286976E+01;  6.202081415222E+01
27;0.270035;80; -2.319607113554E+01; -2.873978826379E-33;  3.226311293517E+01;  3.973620732270E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.319607113554E+01; -2.873978826379E-33; -3.052088800038E+01;  3.833513167392E+01
28;0.280013;80; -3.302947093756E+00; -2.111559675115E-33;  2.156658100317E+01;  2.181804014274E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.302947093756E+00; -2.111559675115E-33; -4.121741993239E+01;  4.134954855119E+01
29;0.290014;80; -6.125421582849E+00; -3.711538424119E-33;  2.270241089795E+01;  2.351425631711E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.125421582849E+00; -3.711538424119E-33; -4.008159003761E+01;  4.054694377522E+01
30;0.300015;80; -9.965577914948E-01; -3.305883939757E-34;  2.405186789113E+00;  2.603469016968E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.965577914948E-01; -3.305883939757E-34; -6.037881414644E+01;  6.038703772468E+01
31;0.310022;80;  2.857667375489E-02; -4.192166240951E-35; -6.609470465920E-02;  7.200789030989E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.857667375489E-02; -4.192166240951E-35; -6.285009564021E+01;  6.285010213683E+01
32;0.320015;80;  2.372420138380E-02; -1.493377822261E-36; -5.018446043408E-02;  5.550961898949E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.372420138380E-02; -1.493377822261E-36; -6.283418539599E+01;  6.283418987474E+01
33;0.330012;80;  1.037240329066E-03; -3.486931122182E-36; -3.241462755817E-03;  3.403373076463E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.037240329066E-03; -3.486931122182E-36; -6.278724239831E+01;  6.278724240688E+01
34;0.340002;80;  4.952656644172E-02; -2.974543922991E-35; -1.038938728555E-01;  1.150948200417E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.952656644172E-02; -2.974543922991E-35; -6.288789480841E+01;  6.288791431042E+01
35;0.350033;80; -9.249622933833E-04; -6.558660234889E-37;  1.001911178264E-03;  1.363591307288E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.249622933833E-04; -6.558660234889E-37; -6.278299902438E+01;  6.278299903119E+01
36;0.360039;80;  6.215974736787E-02; -6.166357568810E-35; -1.251815051612E-01;  1.397649577944E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.215974736787E-02; -6.166357568810E-35; -6.290918244072E+01;  6.290921315033E+01
37;0.370006;80;  1.793777886203E-02; -1.332272214383E-35; -3.532611899563E-02;  3.961942192659E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.793777886203E-02; -1.332272214383E-35; -6.281932705455E+01;  6.281932961558E+01
38;0.380038;80;  3.864452855636E-02; -7.368358105781E-36; -7.111017333135E-02;  8.093241834122E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.864452855636E-02; -7.368358105781E-36; -6.285511110889E+01;  6.285512298858E+01
39;0.390017;80; -6.974137637259E-03; -1.308143694391E-34;  5.393791279144E-04;  6.994964304916E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.974137637259E-03; -1.308143694391E-34; -6.278346155643E+01;  6.278346194378E+01
40;0.400025;80;  5.017734516908E-02;  2.049947160658E-35; -8.665725837137E-02;  1.001361393137E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.017734516908E-02;  2.049947160658E-35; -6.287065819393E+01;  6.287067821730E+01
41;0.410013;80;  4.561041868080E-02; -4.152151898505E-35; -8.287412766924E-02;  9.459614859589E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.561041868080E-02; -4.152151898505E-35; -6.286687506322E+01;  6.286689160858E+01
42;0.420014;80;  3.123742362250E-02;  1.886522561166E-35; -5.272390444165E-02;  6.128284208605E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.123742362250E-02;  1.886522561166E-35; -6.283672484000E+01;  6.283673260438E+01
43;0.430033;80; -4.226323976381E-02; -7.425519242697E-35;  7.186258423124E-02;  8.336913366304E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.226323976381E-02; -7.425519242697E-35; -6.271213835132E+01;  6.271215259244E+01
44;0.440032;80; -5.471316462536E-01; -7.153981532613E-34;  9.303085990296E-01;  1.079271572757E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.471316462536E-01; -7.153981532613E-34; -6.185369233652E+01;  6.185611213696E+01
45;0.450023;80;  3.839681762745E-02; -8.155399473260E-35; -7.172433960027E-02;  8.135537164201E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.839681762745E-02; -8.155399473260E-35; -6.285572527515E+01;  6.285573700293E+01
