mk,n_particles,mean_rho,nx_unique,nz_unique,geom_vol_count_m3_per_m,bbox_vol_centers_m3_per_m,bbox_extent_vol_m3_per_m,particle_mass_if_phase_density_used,total_mass_if_geom_truth,vol_from_m_over_rho_using_phase_density_mass
1,4224,1200.0,44,96,0.4223991552004189,0.4223991552004189,0.4223999903999999,0.119999760000119,506.8789862405026,0.4223991552004188
2,4224,1000.0,44,96,0.4223991552004189,0.4223991552004189,0.42239999999999994,0.09999980000009917,422.3991552004189,0.4223991552004188
