step,time_s,n_total,volume_total_m3_per_m,n_mk_1,volume_mk_1_m3_per_m,mean_rhop_mk_1,min_rhop_mk_1,max_rhop_mk_1,n_mk_2,volume_mk_2_m3_per_m,mean_rhop_mk_2,min_rhop_mk_2,max_rhop_mk_2,volfrac_mk1,volfrac_mk2,relvol_mk1,relvol_mk2
0,0.0,8448,0.9292781414409215,4224,0.4223991552004188,1200.0,1200.0,1200.0,4224,0.5068789862405026,1000.0,1000.0,1000.0,0.45454545454545453,0.5454545454545455,1.0,1.0
1,0.100003,8448,0.9272717934024863,4224,0.42156943555889,1202.3632530776515,1200.0012,1204.8846,4224,0.5057023578435963,1002.3284302035986,999.85718,1004.5656,0.45463416288335856,0.5453658371166413,0.9980356976776263,0.9976786798647279
2,0.200011,8448,0.9286786624679906,4224,0.4220143802601975,1201.0944758522728,1199.9313,1202.4519,4224,0.5066642822077931,1000.4238734138257,999.8559,1001.2749,0.45442454674115373,0.5455754532588464,0.9990890726567889,0.9995764195428539
3,0.300007,8448,0.9277156737292562,4224,0.4217956239224549,1201.7178208806818,1199.9773,1203.5853,4224,0.5059200498068013,1001.89640929214,999.89166,1003.4681,0.45466044809495304,0.5453395519050469,0.9985711825638535,0.998108155082905
4,0.400012,8448,0.928352657305682,4224,0.42189504423900204,1201.4344267518939,1199.9656,1203.0719,4224,0.5064576130666799,1000.8323448887311,999.90125,1001.9937,0.4544555788351486,0.5455444211648514,0.9988065531021775,0.9991686907817031
5,0.500009,8448,0.927964128084572,4224,0.42185503057615326,1201.548463304924,1199.9932,1203.2701,4224,0.5061090975084186,1001.5218443892046,999.96698,1002.9308,0.4546027349644561,0.5453972650355438,0.9987118235972622,0.9984811192553191
6,0.600003,8448,0.927729335151999,4224,0.42175368274762426,1201.8377041666668,1197.9094,1208.0566,4224,0.5059756524043747,1001.787001896307,990.63684,1013.614,0.4546085445045502,0.5453914554954499,0.9984718898112183,0.9982178510834945
7,0.700001,8448,0.928402773168002,4224,0.42204343609093864,1201.01191640625,1197.5634,1207.4161,4224,0.5063593370770633,1001.0271121567235,996.98676,1005.2394,0.45459088263038444,0.5454091173696154,0.9991578602724445,0.9989748062603786
8,0.800019,8448,0.9279829130573338,4224,0.4218641002039184,1201.5227440104168,1195.4052,1205.2573,4224,0.5061188128534154,1001.5031964512311,997.78113,1005.682,0.4546033060178278,0.5453966939821722,0.9987332952968465,0.9985002862463773
9,0.900001,8448,0.9282170716418942,4224,0.4219514429611321,1201.273922537879,1196.0195,1204.9957,4224,0.5062656286807621,1001.2125388044506,997.18463,1004.4167,0.45458272192166793,0.5454172780783321,0.9989400730712297,0.9987899329496971
10,1.00002,8448,0.9281168999666265,4224,0.4219053298217671,1201.4053154592802,1195.7218,1205.355,4224,0.5062115701448594,1001.3194935298295,995.29663,1006.8676,0.45458210041961106,0.545417899580389,0.9988309034888637,0.998683283162726
11,1.1,8448,0.9281630908475762,4224,0.4219175771842325,1201.3702981770832,1198.3506,1204.9141,4224,0.5062455136633437,1001.2521372301135,998.0224,1004.1645,0.45457267299753057,0.5454273270024694,0.9988598982496596,0.9987502488871014
12,1.20001,8448,0.9281903059732193,4224,0.42191575032764356,1201.3754187263257,1199.1453,1206.0367,4224,0.5062745556455757,1001.1944698839961,999.20911,1004.4016,0.4545573764479899,0.54544262355201,0.9988555732964336,0.9988075445790128
13,1.30001,8448,0.9281711664253229,4224,0.42189796898266074,1201.4260311079547,1199.3503,1204.3671,4224,0.5062731974426622,1001.1971450473484,999.60114,1004.1966,0.4545475923449783,0.5454524076550217,0.9988134772250662,0.9988048650382342
14,1.40001,8448,0.9282062491461935,4224,0.42189974499243804,1201.4209357717805,1197.7012,1204.9442,4224,0.5063065041537556,1001.1312412144888,999.90704,1005.1578,0.4545323255262725,0.5454676744737276,0.998817681802077,0.9988705744323844
15,1.50001,8448,0.9281833561192909,4224,0.421877952319591,1201.4830069839015,1199.4635,1205.1544,4224,0.5063054037996999,1001.1334384280304,999.87836,1004.6678,0.4545200574199597,0.5454799425800403,0.9987660891968866,0.9988684035906539
16,1.60001,8448,0.9282067812430974,4224,0.42187589098776035,1201.4888448390152,1199.3064,1204.9603,4224,0.5063308902553371,1001.0830268963067,998.86346,1005.0208,0.45450636594441235,0.5454936340555876,0.9987612091401789,0.9989186847353235
17,1.7,8448,0.9282083740625457,4224,0.4218625701252939,1201.526783404356,1199.1879,1205.3506,4224,0.5063458039372519,1001.0535390435607,999.63556,1005.3731,0.4544912348494578,0.5455087651505423,0.9987296729443733,0.9989481073042595
18,1.80002,8448,0.9282061138703619,4224,0.42185123832783994,1201.5590465672346,1198.2372,1204.5795,4224,0.506354875542522,1001.035603967803,999.30774,1005.13,0.4544801332635457,0.5455198667364544,0.9987028457187163,0.9989660042885818
19,1.90002,8448,0.9282239242491859,4224,0.4218462116628201,1201.5733424242424,1199.3479,1204.8907,4224,0.5063777125863658,1000.990436155303,999.30554,1006.0006,0.45446599752752503,0.545534002472475,0.9986909454462892,0.9990110585213745
20,2.00002,8448,0.9282202342658679,4224,0.42183106414428767,1201.6164964015152,1198.4318,1205.3469,4224,0.5063891701215801,1000.9677924739583,998.84589,1006.0164,0.454451485296391,0.5455485147036089,0.9986550847719816,0.9990336626054367
21,2.10001,8448,0.9282318012907955,4224,0.42182680331019984,1201.628613375947,1198.6348,1205.7448,4224,0.5064049979805956,1000.9364926089016,997.66821,1005.4149,0.4544412319461681,0.5455587680538317,0.9986449975498947,0.9990648887155046
22,2.20002,8448,0.9282390342479222,4224,0.4218166932765565,1201.657393063447,1198.7596,1205.5161,4224,0.5064223409713657,1000.9021988020831,996.43011,1005.988,0.4544267992546993,0.5455732007453007,0.9986210627632862,0.9990991039645896
23,2.30001,8448,0.9282546525534274,4224,0.4218168883570248,1201.6568272727272,1197.8297,1205.8468,4224,0.5064377641964026,1000.8716939843752,999.83942,1005.1301,0.4544193634760655,0.5455806365239345,0.9986215246024397,0.9991295317894858
24,2.40002,8448,0.9282484802526781,4224,0.42180353521313946,1201.6948421875,1199.8726,1205.9153,4224,0.5064449450395385,1000.8574991027461,999.84821,1005.616,0.45440799978290347,0.5455920002170963,0.9985899119826678,0.9991436985695868
25,2.5,8448,0.9282433052965882,4224,0.42179011314916093,1201.7330980587121,1198.2231,1206.2794,4224,0.5064531921474273,1000.8411873129733,999.95166,1005.4457,0.45439607346738947,0.5456039265326106,0.9985581361994701,0.9991599689380825
26,2.60002,8448,0.9282545861612345,4224,0.42179073818359614,1201.7312918560606,1198.8707,1206.4381,4224,0.5064638479776383,1000.8201099976326,999.97498,1005.1855,0.45439122464010384,0.5456087753598962,0.9985596159241038,0.9991809913724311
27,2.70002,8448,0.9282461197860987,4224,0.4217761578960201,1201.7728352035986,1198.7101,1205.8345,4224,0.5064699618900785,1000.8080251680869,999.94977,1005.1054,0.454379661714301,0.5456203382856989,0.9985250981287992,0.9991930532503274
28,2.80001,8448,0.9282608222032787,4224,0.4217792248804899,1201.7640741950759,1199.1676,1207.1034,4224,0.5064815973227887,1000.7850111529357,999.95209,1005.3085,0.45437576895615767,0.5456242310438423,0.9985323589967059,0.9992160083007952
29,2.90002,8448,0.9282558708476104,4224,0.42177145955792317,1201.7862002604168,1199.5186,1207.032,4224,0.5064844112896871,1000.7794436789773,999.96838,1005.2274,0.454369827117597,0.5456301728824029,0.9985139751470435,0.9992215598564421
30,3.00001,8448,0.9282570506313133,4224,0.42176548022423915,1201.8032200994317,1199.6935,1205.4684,4224,0.506491570407074,1000.7652790269887,999.98724,1004.672,0.4543628081654687,0.5456371918345312,0.9984998194992152,0.9992356837747367
31,3.10001,8448,0.928255992298468,4224,0.4217614597421698,1201.8146779356061,1199.2971,1205.2886,4224,0.5064945325562982,1000.7594181107953,999.95392,1004.4038,0.4543589949770646,0.5456410050229353,0.9984903012934615,0.9992415276729936
32,3.20001,8448,0.9282565580256608,4224,0.42175807948272054,1201.8243077888258,1199.9397,1208.4752,4224,0.5064984785429403,1000.7516169105114,999.13745,1004.2943,0.45435507655315854,0.5456449234468416,0.9984822987692906,0.9992493125422607
