step,time_s,n_mk_1,mass_mk_1_kg_per_m,volume_mk_1_m3_per_m,mean_rhop_mk_1,n_mk_2,mass_mk_2_kg_per_m,volume_mk_2_m3_per_m,mean_rhop_mk_2,volume_total_m3_per_m,mass_total_kg_per_m,relvol_mk_1,volfrac_mk_1,relvol_mk_2,volfrac_mk_2
32,3.20001,4224,506.8789862405026,0.42175807948272054,1201.8243077888258,4224,422.3991552004189,0.4220820654524502,1000.7516169105114,0.8438401449351707,929.2781414409214,0.9984822987692906,0.4998080288241356,0.9992493125422607,0.5001919711758644
33,3.30001,4224,506.8789862405026,0.42175770477503716,1201.825365719697,4224,422.3991552004189,0.42208515929702706,1000.744279798769,0.8438428640720642,929.2781414409214,0.998481411675463,0.4998059742305518,0.9992566369995631,0.5001940257694482
34,3.40002,4224,506.8789862405026,0.4217518484089329,1201.8420520359848,4224,422.3991552004189,0.4220858403770386,1000.7426658238637,0.8438376887859715,929.2781414409214,0.9984675471446461,0.4998020994010197,0.9992582494081184,0.5001979005989803
35,3.50002,4224,506.8789862405026,0.42175332378513103,1201.8378498579546,4224,422.3991552004189,0.4220898301232967,1000.7332009706438,0.8438431539084277,929.2781414409214,0.99847103999301,0.49980061085012834,0.9992676948490218,0.5001993891498717
36,3.60002,4224,506.8789862405026,0.4217497983265975,1201.847887618371,4224,422.3991552004189,0.4220910741718553,1000.7302440932765,0.8438408724984527,929.2781414409214,0.9984626937203195,0.49979778424085614,0.9992706400456286,0.5002022157591439
37,3.7,4224,506.8789862405026,0.42174799311394107,1201.8530319602273,4224,422.3991552004189,0.4220933426617729,1000.7248528267045,0.843841335775714,929.2781414409214,0.9984584200075666,0.49979537056719653,0.9992760105343941,0.5002046294328035
38,3.8,4224,506.8789862405026,0.4217444267789032,1201.8631964962121,4224,422.3991552004189,0.42209416131339383,1000.7229188612689,0.8438385880922971,929.2781414409214,0.9984499769626553,0.49979277166307284,0.9992779486339638,0.5002072283369271
39,3.9,4224,506.8789862405026,0.42174724983009804,1201.8551502604166,4224,422.3991552004189,0.4220964907536723,1000.7173956534091,0.8438437405837703,929.2781414409214,0.9984566603358582,0.499793065406083,0.9992834634183799,0.5002069345939171
40,4.00002,4224,506.8789862405026,0.42174310530849035,1201.866965814394,4224,422.3991552004189,0.4220962241378282,1000.7180340885415,0.8438393294463186,929.2781414409214,0.9984468484753072,0.49979076654938,0.9992828322243048,0.50020923345062
41,4.10002,4224,506.8789862405026,0.4217445795891428,1201.8627599431818,4224,422.3991552004189,0.42209770778194705,1000.7144962594698,0.8438422873710898,929.2781414409214,0.9984503387300445,0.49979076173469317,0.9992863446463838,0.5002092382653069
42,4.20002,4224,506.8789862405026,0.42174203967520313,1201.8699917613637,4224,422.3991552004189,0.4220974282350932,1000.7151611624051,0.8438394679102963,929.2781414409214,0.998444325664184,0.49978942170080637,0.9992856828390615,0.5002105782991937
43,4.30002,4224,506.8789862405026,0.42174251739691715,1201.868627154356,4224,422.3991552004189,0.42209872546999905,1000.7120878314395,0.8438412428669162,929.2781414409214,0.9984454566364127,0.49978893655880596,0.9992887539505678,0.500211063441194
44,4.40001,4224,506.8789862405026,0.4217407095441501,1201.8737831439394,4224,422.3991552004189,0.42209825637869786,1000.7132116761363,0.843838965922848,929.2781414409214,0.9984411766733854,0.49978814273280403,0.9992876434102285,0.500211857267196
45,4.5,4224,506.8789862405026,0.4217414832286529,1201.871572348485,4224,422.3991552004189,0.4220990810987754,1000.7112488683713,0.8438405643274283,929.2781414409214,0.9984430083164966,0.49978811289404684,0.9992895958764382,0.5002118871059532
46,4.6,4224,506.8789862405026,0.4217408399856104,1201.8733975142047,4224,422.3991552004189,0.4220997777777842,1000.7095915577652,0.8438406177633946,929.2781414409214,0.9984414854842784,0.4997873189648508,0.9992912452145114,0.5002126810351493
47,4.7,4224,506.8789862405026,0.42173939773468183,1201.8775057765151,4224,422.3991552004189,0.42209988310706414,1000.7093414772729,0.843839280841746,929.2781414409214,0.9984380710576375,0.49978640164035576,0.9992914945741009,0.5002135983596442
48,4.80001,4224,506.8789862405026,0.421740152981791,1201.8753505208333,4224,422.3991552004189,0.4221013611212314,1000.7058320312499,0.8438415141030224,929.2781414409214,0.9984398590515289,0.4997859739456974,0.9992949936676694,0.5002140260543027
49,4.9,4224,506.8789862405026,0.4217390047458046,1201.8786200757575,4224,422.3991552004189,0.42210132204189416,1000.7059242424242,0.8438403267876988,929.2781414409214,0.9984371406843818,0.499785316436897,0.9992949011501139,0.500214683563103
50,5.0,4224,506.8789862405026,0.42173918282290934,1201.8781085700757,4224,422.3991552004189,0.4221024547254115,1000.7032347537879,0.8438416375483209,929.2781414409214,0.9984375622692798,0.49978475113911325,0.999297582697895,0.5002152488608868
