time_since_meeting_s,runoff_distance_x_m,deepest_point_x_m
0.0,1.6384304600000001,0.046585944
0.19999999999999996,1.8020094800000002,0.048382532
0.3999999999999999,1.9273857,0.081959769
0.5999999999999999,2.0236667500000003,0.083198272
0.8,2.08938576,0.050266281
1.0000000000000002,2.13692255,0.050459728
1.2,2.17683126,0.050815191
1.4000000000000001,2.20917703,0.051274616
1.5999999999999999,2.23920114,0.051484715
1.8,2.2628171000000004,0.051547617
2.0,2.28490443,0.051603187
2.2,2.3083866000000004,0.11878086
2.4000000000000004,2.3261104,0.1194102
2.5999999999999996,2.3445832,0.11987621
2.8,2.3637105,0.10187466
3.0,2.3810879,0.10199945
3.2,2.3957905999999998,0.10226782
3.4000000000000004,2.4111409000000004,0.10282615
3.5999999999999996,2.4262212,0.10344582
3.8,2.4386538,0.10409117
4.0,2.4476391,0.10474753
4.2,2.458214,0.10520978
4.4,2.4679673,0.10560477
4.6,2.4775342,0.1060131
4.8,2.4870727,0.10647218
5.0,2.4961897000000004,0.10669185
5.2,2.5053135,0.10688449
5.4,2.5138185,0.10702793
5.6,2.5214549,0.1072058
5.8,2.5282837000000002,0.10747978
6.0,2.5363937,0.10773675
6.2,2.5449587,0.10799937
6.4,2.5534765999999998,0.10818301
6.6,2.5613182,0.15166745
