time_s,top_phase_sunk_volume_per_thickness_m2,bottom_phase_bulged_volume_per_thickness_m2
0.0,0.0,0.0
0.2,0.0,8.191616003999392e-05
0.4,0.0,8.191616003999392e-05
0.6000000000000001,0.0,8.191616003999392e-05
0.8,0.0,8.191616003999392e-05
1.0,0.0,8.191616003999392e-05
1.2000000000000002,0.0,0.00016383232007998784
1.4000000000000001,0.0003276646401599757,0.0017611974408598692
1.6,0.0006962873603399483,0.003194730241559763
1.8,0.0010649100805199209,0.00417772416203969
2.0,0.0013516166406598996,0.00458730496223966
2.2,0.0017202393608398722,0.004914969602399635
2.4000000000000004,0.001925029760939857,0.0056931731227795775
2.6,0.0024165267211798207,0.005611256962739584
2.8000000000000003,0.0025394009612398115,0.005488382722679592
3.0,0.002948981761439781,0.00565221504275958
3.2,0.0033995206416597475,0.005897963522879562
3.4000000000000004,0.0038091014418597173,0.00647137664315952
3.6,0.0039729337619397054,0.006389460483119526
3.8000000000000003,0.004423472642159671,0.007044789763439477
4.0,0.0051197600024996195,0.0071267059234794705
4.2,0.0056931731227795775,0.007208622083519465
4.4,0.00606179584295955,0.007495328643659443
4.6000000000000005,0.006717125123279501,0.007454370563639447
4.800000000000001,0.007249580163539462,0.007577244803699437
5.0,0.007741077123779425,0.008109699843959399
5.2,0.008396406404099376,0.008273532164039386
5.4,0.009051735684419328,0.008560238724179365
5.6000000000000005,0.009584190724679288,0.008724071044259353
5.800000000000001,0.010034729604899255,0.008969819524379334
6.0,0.010812933125279197,0.00929748416453931
6.2,0.01130443008551916,0.00929748416453931
6.4,0.011795927045759123,0.009461316484619297
6.6000000000000005,0.012287424005999088,0.009543232644659292
6.800000000000001,0.01294275328631904,0.009993771524879258
7.0,0.013270417926479015,0.009911855364839264
7.2,0.013884789126778969,0.010075687684919251
7.4,0.014212453766938945,0.010403352325079227
7.6000000000000005,0.014785866887218902,0.010608142725179213
7.800000000000001,0.01523640576743887,0.01105868160539918
8.0,0.015727902727678832,0.011468262405599148
