time_s,relative_time_after_impact_s,x_m,y_positive_m,y_negative_m
1.800000000000000044e+00,0.000000000000000000e+00,-1.208549618721008301e+00,1.419015973806381226e-01,-1.419015973806381226e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.202549695968627930e+00,1.430684030055999756e-01,-1.430684030055999756e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.196549892425537109e+00,1.435876637697219849e-01,-1.435876637697219849e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.190550088882446289e+00,1.443261504173278809e-01,-1.443261504173278809e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.184550166130065918e+00,1.419248729944229126e-01,-1.419248729944229126e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.178550362586975098e+00,1.434339731931686401e-01,-1.434339731931686401e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.172550559043884277e+00,1.436390280723571777e-01,-1.436390280723571777e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.166550636291503906e+00,1.452622562646865845e-01,-1.452622562646865845e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.160550832748413086e+00,1.413681507110595703e-01,-1.413681507110595703e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.154551029205322266e+00,1.437998414039611816e-01,-1.437998414039611816e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.148551106452941895e+00,1.415551602840423584e-01,-1.415551602840423584e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.142551302909851074e+00,1.423878669738769531e-01,-1.423878669738769531e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.136551499366760254e+00,1.414564400911331177e-01,-1.414564400911331177e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.130551576614379883e+00,1.429487168788909912e-01,-1.429487168788909912e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.124551773071289062e+00,1.414999663829803467e-01,-1.414999663829803467e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.118551969528198242e+00,1.427624821662902832e-01,-1.427624821662902832e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.112552046775817871e+00,1.415360122919082642e-01,-1.415360122919082642e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.106552243232727051e+00,1.418024003505706787e-01,-1.418024003505706787e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.100552439689636230e+00,1.427329778671264648e-01,-1.427329778671264648e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.094552516937255859e+00,1.419865787029266357e-01,-1.419865787029266357e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.088552713394165039e+00,1.415787190198898315e-01,-1.415787190198898315e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.082552909851074219e+00,1.414301395416259766e-01,-1.414301395416259766e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.076552987098693848e+00,1.417174786329269409e-01,-1.417174786329269409e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.070553183555603027e+00,1.417377889156341553e-01,-1.417377889156341553e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.064553260803222656e+00,1.417986005544662476e-01,-1.417986005544662476e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.058553457260131836e+00,1.416586488485336304e-01,-1.416586488485336304e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.052553653717041016e+00,1.418125480413436890e-01,-1.418125480413436890e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.046553730964660645e+00,1.416082084178924561e-01,-1.416082084178924561e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.040553927421569824e+00,1.412041485309600830e-01,-1.412041485309600830e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.034554123878479004e+00,1.420809328556060791e-01,-1.420809328556060791e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.028554201126098633e+00,1.409664601087570190e-01,-1.409664601087570190e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.022554397583007812e+00,1.416533440351486206e-01,-1.416533440351486206e-01
