time_s,relative_time_after_impact_s,x_m,z_m
1.800000000000000044e+00,0.000000000000000000e+00,-9.869905114173889160e-01,4.917179942131042480e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.809852242469787598e-01,4.896359145641326904e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.749799966812133789e-01,4.882382452487945557e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.689747095108032227e-01,4.853645563125610352e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.629694223403930664e-01,4.818382561206817627e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.569641351699829102e-01,4.785463809967041016e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.509588479995727539e-01,4.771743714809417725e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.449535608291625977e-01,4.754382371902465820e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.389483332633972168e-01,4.719968736171722412e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.329430460929870605e-01,4.716194570064544678e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.269378185272216797e-01,4.694532752037048340e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.209325313568115234e-01,4.660066664218902588e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.149272441864013672e-01,4.636163711547851562e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.089219570159912109e-01,4.616390764713287354e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.029166698455810547e-01,4.598187208175659180e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.969113826751708984e-01,4.572689235210418701e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.909061551094055176e-01,4.539338350296020508e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.849008679389953613e-01,4.513016641139984131e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.788956403732299805e-01,4.482288956642150879e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.728903532028198242e-01,4.461939632892608643e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.668850660324096680e-01,4.444944560527801514e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.608797788619995117e-01,4.408499896526336670e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.548744916915893555e-01,4.389061927795410156e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.488692045211791992e-01,4.383042156696319580e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.428639769554138184e-01,4.337292313575744629e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.368586897850036621e-01,4.320824444293975830e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.308534622192382812e-01,4.317212104797363281e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.248481750488281250e-01,4.271595776081085205e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.188428878784179688e-01,4.257632791996002197e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.128376007080078125e-01,4.233587682247161865e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.068323135375976562e-01,4.211323857307434082e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.008270263671875000e-01,4.191606938838958740e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.948217988014221191e-01,4.152729809284210205e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.888165116310119629e-01,4.134815633296966553e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.828112840652465820e-01,4.114382565021514893e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.768059968948364258e-01,4.083260595798492432e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.708007097244262695e-01,4.056845307350158691e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.647954225540161133e-01,4.030700325965881348e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.587901353836059570e-01,4.008558392524719238e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.527848482131958008e-01,3.986382484436035156e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.467796206474304199e-01,3.953335583209991455e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.407743334770202637e-01,3.943002820014953613e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.347691059112548828e-01,3.922382593154907227e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.287638187408447266e-01,3.888598382472991943e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.227585315704345703e-01,3.874748051166534424e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.167532444000244141e-01,3.839074671268463135e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.107479572296142578e-01,3.819396495819091797e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.047426700592041016e-01,3.803740441799163818e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.987374424934387207e-01,3.766199648380279541e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.927321553230285645e-01,3.741127848625183105e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.867269277572631836e-01,3.707326352596282959e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.807216405868530273e-01,3.690815269947052002e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.747163534164428711e-01,3.666382431983947754e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.687110662460327148e-01,3.628262281417846680e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.627057790756225586e-01,3.611221611499786377e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.567004919052124023e-01,3.573902249336242676e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.506952643394470215e-01,3.551389873027801514e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.446899771690368652e-01,3.545027375221252441e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.386847496032714844e-01,3.525778353214263916e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.326794624328613281e-01,3.496658504009246826e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.266741752624511719e-01,3.467160463333129883e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.206688880920410156e-01,3.447821438312530518e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.146636009216308594e-01,3.423749804496765137e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.086583137512207031e-01,3.389621078968048096e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.026530861854553223e-01,3.368762135505676270e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.966477990150451660e-01,3.346382379531860352e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.906425714492797852e-01,3.312225639820098877e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.846372842788696289e-01,3.282382488250732422e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.786319971084594727e-01,3.257743120193481445e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.726267099380493164e-01,3.235731124877929688e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.666214227676391602e-01,3.218382596969604492e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.606161355972290039e-01,3.181297779083251953e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.546109080314636230e-01,3.173024356365203857e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.486056208610534668e-01,3.114939630031585693e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.426003932952880859e-01,3.109762370586395264e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.365951061248779297e-01,3.085467815399169922e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.305898189544677734e-01,3.057585954666137695e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.245845317840576172e-01,3.046192824840545654e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.185792446136474609e-01,3.006353974342346191e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.125739574432373047e-01,2.981241345405578613e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.065687298774719238e-01,2.962382435798645020e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.005634427070617676e-01,2.925898730754852295e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.945581853389739990e-01,2.898382544517517090e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.885529279708862305e-01,2.870775461196899414e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.825476408004760742e-01,2.847834527492523193e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.765423536300659180e-01,2.804405689239501953e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.705370664596557617e-01,2.782581448554992676e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.645317792892456055e-01,2.770382463932037354e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.585265517234802246e-01,2.733874022960662842e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.525213241577148438e-01,2.724355757236480713e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.465160369873046875e-01,2.671321034431457520e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.405107498168945312e-01,2.664777636528015137e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.345054626464843750e-01,2.649863362312316895e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.285001754760742188e-01,2.609364688396453857e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.224948883056640625e-01,2.583327591419219971e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.164896011352539062e-01,2.555167376995086670e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.104843139648437500e-01,2.527729570865631104e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.044790863990783691e-01,2.490366548299789429e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.984738588333129883e-01,2.469637244939804077e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.924685716629028320e-01,2.450382411479949951e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.864632844924926758e-01,2.401304841041564941e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.804579973220825195e-01,2.389890998601913452e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.744527101516723633e-01,2.360320389270782471e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.684474229812622070e-01,2.322382479906082153e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.624421954154968262e-01,2.293010950088500977e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.564369678497314453e-01,2.271328866481781006e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.504316806793212891e-01,2.265801578760147095e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.444263935089111328e-01,2.227904051542282104e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.384211063385009766e-01,2.199242413043975830e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.324158191680908203e-01,2.162120640277862549e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.264105319976806641e-01,2.148395180702209473e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.204052448272705078e-01,2.112856507301330566e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.143999576568603516e-01,2.078511267900466919e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.083947300910949707e-01,2.040444463491439819e-01
