time,Fx_11,Fy_11,Fz_11,Fx_12,Fy_12,Fz_12,Fx_13,Fy_13,Fz_13,Fx_14,Fy_14,Fz_14,Fx_15,Fy_15,Fz_15,Fx,Fy,Fz,Fmag
0.0,0.0,0.0,-2.517700229845e-06,0.0,0.0,-3.356933639793e-06,0.0,0.0,-3.356933639793e-06,0.0,0.0,-3.356933639793e-06,0.0,0.0,-3.524780321783e-06,0.0,0.0,-1.6113281471007e-05,1.6113281471007e-05
0.010022,96.6332211559,1.876992425078e-37,28.21834334222,49.45308829029,3.2686254904159995e-38,-0.6125621123994,0.8841189173167,3.201738486912e-39,-3.225625200653,-0.08480236290491,2.613833656663e-40,0.5884453193612,0.001682940101565,0.0,0.02060842926217,146.88730894070335,2.2384861926453827e-37,24.989209777790972,148.99779237680025
0.020021,101.8171620393,6.595325074949e-36,44.91393542221,30.35102357808,-7.403255185102001e-37,-3.070341079687,-13.36131116006,7.953106827325e-39,-7.181115848737,-0.4807071852255,1.726927042394e-39,-0.1780928829028,0.005961707086945,8.703983372053e-41,0.07328224672798,118.33212897918145,5.864766630142239e-36,34.55766785761118,123.27499809978747
0.030008,86.2591421218,1.256455376489e-35,26.15624442169,1.497125848,-3.150429022784e-36,-6.416252537016,-24.90302465776,-9.861758889973e-37,-12.08810025108,-0.002037225463068,1.1736022370329998e-38,-0.005513115011347,0.006219945435242,-1.712947268316e-40,0.07732096215071,62.857426032012164,8.439513580752198e-36,7.723699480733364,63.33017875419713
0.040035,148.0788879579,-2.754258010201e-35,41.37409651375,74.50250913047,-6.566136295991e-36,-2.793732370045,-24.41995062769,3.9941890171420005e-37,-10.64480856545,-0.0787836374223,2.783895030633e-38,-0.02465068853871,0.008649939455105,2.625561123686e-40,0.1093004281119,198.0913127627128,-3.368119598986811e-35,28.02020531782819,200.06324024694828
0.050043,114.8964924946,7.322594260888e-35,48.25781072524,-0.1760381768564,1.604364703018e-35,-8.902210578057,-19.47690484185,2.6453680472959997e-36,-17.68885631217,0.02529527998518,-8.851759601939999e-38,0.08258884552999,0.01116381125282,5.420808423673e-39,0.1450664580027,95.2800085671316,9.183186089876027e-35,21.894399138545687,97.7632075281423
0.060015,129.203251291,1.163140926297e-34,53.45819055584,20.46864433387,1.2885923839319998e-35,-9.605075807647,-6.104142757791,3.8361725225179997e-38,-16.54228437278,0.001053225798043,-6.920927038575e-39,0.02850301785027,0.01096624868226,-1.872565171052e-38,0.1482430518306,143.57977234155928,1.292127316154961e-34,27.48757644509387,146.1872699125299
0.070039,160.4336285818,2.243521816242e-34,52.39645555372,86.14614281127,1.218990941629e-34,-5.599726874824,-34.9230356012,6.992513296127999e-36,-17.92718954097,-0.000438055927993,-2.0841525122279998e-38,0.03635089928435,0.01317981955258,4.719651490629e-38,0.1878201550815,211.6694775554946,3.5327014407301204e-34,29.09371019229185,213.65956964612914
0.080014,109.9600141133,-1.1187361780470002e-33,40.90732583921,26.537867569,1.77392185328e-34,-10.363696888,-5.329255777992,1.044227008826e-36,-17.75193986642,-0.004044900030138,1.965630320611e-37,-0.007473487965364,0.01448792231542,-5.503508982491e-38,0.2214862894637,131.1790689265933,-9.40158237767938e-34,13.00570188628834,131.82221514601747
0.090007,144.1129166626,-1.4454259197470002e-33,60.19491251163,77.4030493204,1.650904128545e-34,-6.737177431839,-12.00649207143,9.668610946896e-37,-16.51437070659,-0.005955940115178,2.056678958209e-37,-0.03506471686161,0.01385613150599,-3.1097805859629997e-38,0.2323776317891,209.51737410296084,-1.2791940757078491e-33,37.14067728812849,212.78383387941142
0.100018,154.1450972852,-1.944534535021e-33,95.39843839613,95.32521356983,-1.5436109144700001e-34,-10.16956646069,8.060023910561,-8.670486149841999e-36,-13.48640473435,-0.007890399249489,4.757260412383e-37,-0.04935438229671,0.01482667104055,5.368517817429001e-37,0.2798530658462,257.537271037382,-2.1065535347948606e-33,71.97296588463948,267.40522394226605
0.110033,125.9230783101,-1.0120005346150001e-33,53.73074196533,51.3185368444,-1.438015454998e-34,-11.50003100604,11.45852964727,-4.827481752944e-36,-10.40531595476,-0.009649004274073,-5.745222230236e-37,-0.1020820823622,0.01325309213697,1.910296153892e-36,0.2938757978361,188.7037488896329,-1.1592937879368758e-33,32.017188720003894,191.40064059070954
0.120004,120.9234219367,-9.861084564355e-34,90.15730563398,96.39288179999,1.979521754796e-34,-7.753512843453,-2.150636828168,3.032532012708e-35,-8.586109689863,-0.01028563947158,-8.688335304484001e-37,-0.1217070788399,0.01163079577193,-3.583794740296e-37,0.3203587617928,215.16701206482233,-7.59058173833298e-34,74.01633478361691,227.54177835224866
