Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;80;  0.000000000000E+00;  0.000000000000E+00; -3.356933639793E-06;  3.356933639793E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400429249E+01;  6.278400429249E+01
1;0.010022;80; -8.480236290491E-02;  2.613833656663E-40;  5.884453193612E-01;  5.945244609201E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -8.480236290491E-02;  2.613833656663E-40; -6.219555561619E+01;  6.219561342931E+01
2;0.020021;80; -4.807071852255E-01;  1.726927042394E-39; -1.780928829028E-01;  5.126367845444E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.807071852255E-01;  1.726927042394E-39; -6.296209381846E+01;  6.296392885933E+01
3;0.030008;80; -2.037225463068E-03;  1.173602237033E-38; -5.513115011347E-03;  5.877476049778E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.037225463068E-03;  1.173602237033E-38; -6.278951405057E+01;  6.278951408362E+01
4;0.040035;80; -7.878363742230E-02;  2.783895030633E-38; -2.465068853871E-02;  8.255009370631E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.878363742230E-02;  2.783895030633E-38; -6.280865162409E+01;  6.280870103495E+01
5;0.050043;80;  2.529527998518E-02; -8.851759601940E-38;  8.258884552999E-02;  8.637574078122E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.529527998518E-02; -8.851759601940E-38; -6.270141209002E+01;  6.270141719239E+01
6;0.060015;80;  1.053225798043E-03; -6.920927038575E-39;  2.850301785027E-02;  2.852247028492E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.053225798043E-03; -6.920927038575E-39; -6.275549791770E+01;  6.275549792654E+01
7;0.070039;80; -4.380559279930E-04; -2.084152512228E-38;  3.635089928435E-02;  3.635353864175E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.380559279930E-04; -2.084152512228E-38; -6.274765003627E+01;  6.274765003780E+01
8;0.080014;80; -4.044900030138E-03;  1.965630320611E-37; -7.473487965364E-03;  8.497896129175E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.044900030138E-03;  1.965630320611E-37; -6.279147442352E+01;  6.279147455380E+01
9;0.090007;80; -5.955940115178E-03;  2.056678958209E-37; -3.506471686161E-02;  3.556694520535E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.955940115178E-03;  2.056678958209E-37; -6.281906565242E+01;  6.281906593476E+01
