step,time_s,count_mk1,count_mk2,vol_mk1_m3,vol_mk2_m3,vol_mk1_rel,vol_mk2_rel
0,0.0,4224,4224,0.004223987328012619,0.005068784793615144,1.0,1.0
1,0.1,4224,4224,0.004215690139894526,0.005057018521412363,0.9980356976776261,0.9976786798647277
2,0.2,4224,4224,0.004220139582458155,0.005066637755435088,0.9990890726567888,0.9995764195428537
3,0.30000000000000004,4224,4224,0.0042179520212682915,0.005059195438867494,0.9985711825638532,0.998108155082905
4,0.4,4224,4224,0.00421894622343956,0.005064571066090647,0.9988065531021773,0.9991686907817029
5,0.5,4224,4224,0.004218546087211209,0.00506108591399319,0.998711823597262,0.998481119255319
6,0.6000000000000001,4224,4224,0.004217532609939398,0.005059751464287202,0.9984718898112183,0.9982178510834943
7,0.7000000000000001,4224,4224,0.004220430140475007,0.005063588307177241,0.9991578602724442,0.9989748062603785
8,0.8,4224,4224,0.004218636783398165,0.005061183067346006,0.9987332952968466,0.9985002862463773
9,0.9,4224,4224,0.004219510210096873,0.0050626512241513134,0.9989400730712296,0.998789932949697
10,1.0,4224,4224,0.0042190490791643555,0.005062110639332871,0.9988309034888637,0.9986832831627258
11,1.1,4224,4224,0.004219171552666536,0.005062450074178279,0.9988598982496595,0.9987502488871013
12,1.2000000000000002,4224,4224,0.004219153284118914,0.005062740493710178,0.9988555732964333,0.9988075445790124
13,1.3,4224,4224,0.0042189754708468995,0.005062726911694626,0.998813477225066,0.998804865038234
14,1.4000000000000001,4224,4224,0.004218993230926913,0.005063059978472493,0.9988176818020769,0.9988705744323843
15,1.5,4224,4224,0.00421877530441637,0.005063048974942939,0.9987660891968865,0.9988684035906537
16,1.6,4224,4224,0.004218754691118676,0.005063303839244446,0.9987612091401787,0.9989186847353232
17,1.7000000000000002,4224,4224,0.00421862148262722,0.005063452975914459,0.9987296729443732,0.9989481073042594
18,1.8,4224,4224,0.004218508164765999,0.005063543691876442,0.9987028457187161,0.9989660042885814
19,1.9000000000000001,4224,4224,0.004218457898166066,0.005063772062086511,0.9986909454462889,0.9990110585213743
20,2.0,4224,4224,0.004218306423132217,0.00506388663732408,0.9986550847719814,0.9990336626054367
