step,time_s,count_mk1,vol_mk1_m3,count_mk2,vol_mk2_m3,vol_mk1_rel,vol_mk2_rel
0,0.0,4224,0.004223987328012619,4224,0.004223987328012619,1.0,1.0
1,0.1,4224,0.004215690139894526,4224,0.00421418210117697,0.9980356976776261,0.9976786798647281
2,0.2,4224,0.004220139582458155,4224,0.00422219812952924,0.9990890726567888,0.9995764195428538
3,0.30000000000000004,4224,0.0042179520212682915,4224,0.004215996199056245,0.9985711825638532,0.9981081550829051
4,0.4,4224,0.00421894622343956,4224,0.004220475888408872,0.9988065531021773,0.9991686907817029
5,0.5,4224,0.004218546087211209,4224,0.004217571594994325,0.998711823597262,0.9984811192553192
6,0.6000000000000001,4224,0.004217532609939398,4224,0.004216459553572667,0.9984718898112183,0.9982178510834943
7,0.7000000000000001,4224,0.004220430140475007,4224,0.004219656922647702,0.9991578602724442,0.9989748062603789
8,0.8,4224,0.004218636783398165,4224,0.004217652556121671,0.9987332952968466,0.9985002862463774
9,0.9,4224,0.004219510210096873,4224,0.004218876020126093,0.9989400730712296,0.998789932949697
10,1.0,4224,0.0042190490791643555,4224,0.004218425532777393,0.9988309034888637,0.998683283162726
11,1.1,4224,0.004219171552666536,4224,0.0042187083951485665,0.9988598982496595,0.9987502488871016
12,1.2000000000000002,4224,0.004219153284118914,4224,0.004218950411425148,0.9988555732964333,0.9988075445790126
13,1.3,4224,0.0042189754708468995,4224,0.004218939093078856,0.998813477225066,0.9988048650382343
14,1.4000000000000001,4224,0.004218993230926913,4224,0.004219216648727078,0.9988176818020769,0.9988705744323845
15,1.5,4224,0.00421877530441637,4224,0.004219207479119117,0.9987660891968865,0.998868403590654
16,1.6,4224,0.004218754691118676,4224,0.004219419866037039,0.9987612091401787,0.9989186847353236
17,1.7000000000000002,4224,0.00421862148262722,4224,0.004219544146595382,0.9987296729443732,0.9989481073042595
18,1.8,4224,0.004218508164765999,4224,0.004219619743230369,0.9987028457187161,0.9989660042885817
19,1.9000000000000001,4224,0.004218457898166066,4224,0.004219810051738758,0.9986909454462889,0.9990110585213744
20,2.0,4224,0.004218306423132217,4224,0.0042199055311034,0.9986550847719814,0.999033662605437
