time_s,mk_1_volume,mk_2_volume
0.0,0.4369999960349999,0.4369999960349999
0.1,0.4369999960349999,0.4369999960349999
0.2,0.4369999960349999,0.4369999960349999
0.30000000000000004,0.4369999960349999,0.4369999960349999
0.4,0.4369999960349999,0.4369999960349999
0.5,0.4369999960349999,0.4369999960349999
0.6000000000000001,0.4369999960349999,0.4369999960349999
0.7000000000000001,0.4369999960349999,0.4369999960349999
0.8,0.4369999960349999,0.4369999960349999
0.9,0.4369999960349999,0.4369999960349999
1.0,0.4369999960349999,0.4369999960349999
1.1,0.4369999960349999,0.4369999960349999
1.2000000000000002,0.4369999960349999,0.4369999960349999
1.3,0.4369999960349999,0.4369999960349999
1.4000000000000001,0.4369999960349999,0.4369999960349999
1.5,0.4369999960349999,0.4369999960349999
1.6,0.4369999960349999,0.4369999960349999
1.7000000000000002,0.4369999960349999,0.4369999960349999
1.8,0.4369999960349999,0.4369999960349999
1.9000000000000001,0.4369999960349999,0.4369999960349999
2.0,0.4369999960349999,0.4369999960349999
