time_s,mk_1_count,mk_1_mass,mk_1_volume,mk_1_mean_rho,mk_2_count,mk_2_mass,mk_2_volume,mk_2_mean_rho
0.0,4224,524.3999952419998,0.4369999960349999,1200.0,4224,524.3999952419998,0.5243999952419998,1000.0
0.1,4224,524.3999952419998,0.436141595927911,1202.3632530776515,4224,524.3999952419998,0.5231826949741081,1002.3284302035986
0.2,4224,524.3999952419998,0.43660192078962845,1201.0944758522728,4224,524.3999952419998,0.5241778696522877,1000.4238734138257
0.30000000000000004,4224,524.3999952419998,0.4363756028210691,1201.7178208806818,4224,524.3999952419998,0.5234079117764767,1001.89640929214
0.4,4224,524.3999952419998,0.43647845974538335,1201.4344267518939,4224,524.3999952419998,0.5239640566918803,1000.8323448887311
0.5,4224,524.3999952419998,0.43643706295211104,1201.548463304924,4224,524.3999952419998,0.523603494186716,1001.5218443892046
0.6000000000000001,4224,524.3999952419998,0.4363322118885612,1201.8377041666668,4224,524.3999952419998,0.5234654363586637,1001.787001896307
0.7000000000000001,4224,524.3999952419998,0.43663198097739714,1201.01191640625,4224,524.3999952419998,0.5238623836498204,1001.0271121567235
0.8,4224,524.3999952419998,0.43644644608474426,1201.5227440104168,4224,524.3999952419998,0.5236135453567359,1001.5031964512311
0.9,4224,524.3999952419998,0.43653680797132977,1201.273922537879,4224,524.3999952419998,0.5237654360865784,1001.2125388044506
1.0,4224,524.3999952419998,0.43648910086426873,1201.4053154592802,4224,524.3999952419998,0.5237095089387983,1001.3194935298295
1.1,4224,524.3999952419998,0.43650177157462156,1201.3702981770832,4224,524.3999952419998,0.5237446257643422,1001.2521372301135
1.2000000000000002,4224,524.3999952419998,0.43649988157007896,1201.3754187263257,4224,524.3999952419998,0.5237746716249079,1001.1944698839961
1.3,4224,524.3999952419998,0.43648148558705835,1201.4260311079547,4224,524.3999952419998,0.5237732664737365,1001.1971450473484
1.4000000000000001,4224,524.3999952419998,0.4364833229871954,1201.4209357717805,4224,524.3999952419998,0.5238077244797161,1001.1312412144888
1.5,4224,524.3999952419998,0.4364607770189317,1201.4830069839015,4224,524.3999952419998,0.5238065860903229,1001.1334384280304
1.6,4224,524.3999952419998,0.4364586444341698,1201.4888448390152,4224,524.3999952419998,0.5238329535223485,1001.0830268963067
1.7000000000000002,4224,524.3999952419998,0.4364448631167278,1201.526783404356,4224,524.3999952419998,0.5238483827173586,1001.0535390435607
1.8,4224,524.3999952419998,0.43643313961922203,1201.5590465672346,4224,524.3999952419998,0.5238577678958518,1001.035603967803
1.9000000000000001,4224,524.3999952419998,0.4364279392002186,1201.5733424242424,4224,524.3999952419998,0.523881394335314,1000.990436155303
2.0,4224,524.3999952419998,0.43641226808568834,1201.6164964015152,4224,524.3999952419998,0.5238932479168887,1000.9677924739583
