time_s,mk_1_mass,mk_1_volume,mk_1_mean_rho,mk_2_mass,mk_2_volume,mk_2_mean_rho
0.0,524.3999952419998,0.4369999960349999,1200.0,436.99999603499987,0.4369999960349999,1000.0
0.1,524.3999952419998,0.436141595927911,1202.3632530776515,436.99999603499987,0.43598557914508995,1002.3284302035986
0.2,524.3999952419998,0.43660192078962845,1201.0944758522728,436.99999603499987,0.43681489137690654,1000.4238734138257
0.30000000000000004,524.3999952419998,0.4363756028210691,1201.7178208806818,436.99999603499987,0.4361732598137305,1001.89640929214
0.4,524.3999952419998,0.43647845974538335,1201.4344267518939,436.99999603499987,0.4366367139099002,1000.8323448887311
0.5,524.3999952419998,0.43643706295211104,1201.548463304924,436.99999603499987,0.43633624515559677,1001.5218443892046
0.6000000000000001,524.3999952419998,0.4363322118885612,1201.8377041666668,436.99999603499987,0.4362211969655531,1001.787001896307
0.7000000000000001,524.3999952419998,0.43663198097739714,1201.01191640625,436.99999603499987,0.43655198637485026,1001.0271121567235
0.8,524.3999952419998,0.43644644608474426,1201.5227440104168,436.99999603499987,0.4363446211306131,1001.5031964512311
0.9,524.3999952419998,0.43653680797132977,1201.273922537879,436.99999603499987,0.4364711967388154,1001.2125388044506
1.0,524.3999952419998,0.43648910086426873,1201.4053154592802,436.99999603499987,0.4364245907823319,1001.3194935298295
1.1,524.3999952419998,0.43650177157462156,1201.3702981770832,436.99999603499987,0.43645385480361854,1001.2521372301135
1.2000000000000002,524.3999952419998,0.43649988157007896,1201.3754187263257,436.99999603499987,0.43647889302075654,1001.1944698839961
1.3,524.3999952419998,0.43648148558705835,1201.4260311079547,436.99999603499987,0.43647772206144697,1001.1971450473484
1.4000000000000001,524.3999952419998,0.4364833229871954,1201.4209357717805,436.99999603499987,0.43650643706643005,1001.1312412144888
1.5,524.3999952419998,0.4364607770189317,1201.4830069839015,436.99999603499987,0.43650548840860237,1001.1334384280304
1.6,524.3999952419998,0.4364586444341698,1201.4888448390152,436.99999603499987,0.43652746126862363,1001.0830268963067
1.7000000000000002,524.3999952419998,0.4364448631167278,1201.526783404356,436.99999603499987,0.4365403189311321,1001.0535390435607
1.8,524.3999952419998,0.43643313961922203,1201.5590465672346,436.99999603499987,0.4365481399132099,1001.035603967803
1.9000000000000001,524.3999952419998,0.4364279392002186,1201.5733424242424,436.99999603499987,0.43656782861276167,1000.990436155303
2.0,524.3999952419998,0.43641226808568834,1201.6164964015152,436.99999603499987,0.4365777065974073,1000.9677924739583
